recode_id,claim_id,paper_id_blinded,claim_text,local_context,metric_text,baseline_a_text,baseline_b_text,problem_scope_text,artifact_context,code_claim_inclusion,code_claim_card_specifiable,code_comparator_pair_identifiable,code_metric_measurable,code_relation_type,code_scalar_directional,code_planning_feasible,code_materialization_tier,code_proxy_free_exact_eligible,code_missing_evidence_category,coder_notes
R001,EIRR001,BP011,"Comparison between Tables I and II, on the other hand, indicates that the HONO/LUNO active space leads to a slightly shorter equilibrium bondlength than with the full IAO basis, and to a less accurate binding energy.",Paper-local location: local text scout; exact sentence span in paper_texts,binding-energy accuracy,full IAO basis,HONO/LUNO active space,NH3 active-space approximation,Artifact context: no paper-linked artifact or repository is recorded.,,,,,,,,,,,
R002,EIRR002,BP074,"We note that while Qiskit beats the direct AceCR(θ) implementation for γ ∈ { 0.25π, 0.75π, π}, future iterations of Superstaq will address this with custom pulse-shaping of the CR, rather than relying on Qiskit’s calibration.",Paper-local location: Boundary candidate,Hellinger fidelity,Qiskit calibrated implementation,direct AceCR(theta) implementation,two-qubit QAOA direct AceCR implementation on IBM hardware,,,,,,,,,,,,
R003,EIRR003,BP085,We show that the hybrid TN-VQE implementation improves the convergence of the algorithm in comparison to optimizing randomly-initialized quantum circuits via VQE.,Paper-local location: local text scout; exact sentence span in paper_texts,convergence / average performance,hybrid TN-VQE,standard/randomly initialized VQE,tensor-network initialized VQE,,,,,,,,,,,,
R004,EIRR004,BP058,"More specifically, we show that while XQAOAY 1 can find the MaxCut ofS4 with an approximation ratio of 1, QAOA1 can achieve an approximation ratio of at most 3/4.",Paper-local location: Local text character 29551,approximation ratio,XQAOA_Y at p=1,QAOA at p=1,MaxCut on S4 graph,Artifact context: a paper-linked artifact/repository or study-local executable evidence is recorded for this claim. Use the protocol to decide whether this is sufficient for proxy-free re-execution.,,,,,,,,,,,
R005,EIRR005,BP008,"We ﬁnd that for small systems the gate count from Trotterization dominates the budget of QFD+HOA, making it more costly than VQE for N smaller than 10 qubits.",Paper-local location: local text scout; exact sentence span in paper_texts,gate-count cost for N<10,VQE,QFD+HOA,small-system Heisenberg eigensolver cost,Artifact context: a paper-linked artifact/repository or study-local executable evidence is recorded for this claim. Use the protocol to decide whether this is sufficient for proxy-free re-execution.,,,,,,,,,,,
R006,EIRR006,BP082,• Demonstrate that QAOA outperforms both WalkSATlm and WalkSATm2b2 on a range of k-NAE-SAT instances.,Paper-local location: Local text character 5454,median running time / scaling,QAOA,WalkSATlm and WalkSATm2b2,k-NAE-SAT solving benchmark,Artifact context: a paper-linked artifact/repository or study-local executable evidence is recorded for this claim. Use the protocol to decide whether this is sufficient for proxy-free re-execution.,,,,,,,,,,,
R007,EIRR007,BP111,"Although QUBO uses fewer ancilla qubits and two-qubit gates, the results indicate that it requires a greater number of optimization iterations and a longer runtime.",Paper-local location: Resource/runtime results,optimization_iterations_and_runtime,penalty dephasing/Zeno encoding,QUBO encoding,constraint encoding for QAOA,Artifact context: a paper-linked artifact/repository or study-local executable evidence is recorded for this claim. Use the protocol to decide whether this is sufficient for proxy-free re-execution.,,,,,,,,,,,
R008,EIRR008,BP006,"Compared to t|ket⟩, TB-OLSQ-SWAP often reduces the CX cost by large margins, 69.2% in geometric mean.",Paper-local location: TB-OLSQ-SWAP evaluation,cx_cost,TB-OLSQ-SWAP,tket,transition-based layout synthesis,Artifact context: no paper-linked artifact or repository is recorded.,,,,,,,,,,,
R009,EIRR009,BP027,"For product formula circuits, Nuwa uses 13.1% more Swap gates than tket but 83.1% fewer than arct.","Paper-local location: Page 8, Method (1): linear placement, method (2A): matching-based, character 38566",SWAP gate count,tket,Nuwa,product formula circuit transpilation,Artifact context: no paper-linked artifact or repository is recorded.,,,,,,,,,,,
R010,EIRR010,BP074,"Superstaq increases Hellinger fidelity by 2.3x and 13x compared to Qiskit’s highest optimization, level-3.",Paper-local location: Benchmark results/Figure 1,hellinger_fidelity,Superstaq,Qiskit optimization_level=3,benchmark application compilation,Artifact context: no paper-linked artifact or repository is recorded.,,,,,,,,,,,
R011,EIRR011,BP038,"Notably, Cirq demonstrates the worst performance and, both PyZX and Cirq increased the number of U3 gates in the ﬁnal circuit.",Paper-local location: worksheet Stage 3 accepted claim,compression performance,Cirq,Qiskit/Pytket/PyZX competitors,three-qubit random circuit compression,,,,,,,,,,,,
R012,EIRR012,BP107,"In this case, Vanilla QAOA returns a significantly higher value.","Paper-local location: Page 13, Parity QAOA circuit has a depth 5 times smaller than, character 59483",approximation ratio,vanilla QAOA,Parity QAOA lower bound,complete graph N=21 signed Max-Cut,Artifact context: a paper-linked artifact/repository or study-local executable evidence is recorded for this claim. Use the protocol to decide whether this is sufficient for proxy-free re-execution.,,,,,,,,,,,
R013,EIRR013,BP105,"First, we see that, as a whole, Qiskit outperforms BQSKit, Staq, and Tket in terms of 2Q gate count; a trend clearly seen in the BQSKit and Tket data.",Paper-local location: Local text character 27575,2Q gate count,Qiskit,"BQSKit, Staq, and Tket",transpilation resource benchmark,Artifact context: a paper-linked artifact/repository or study-local executable evidence is recorded for this claim. Use the protocol to decide whether this is sufficient for proxy-free re-execution.,,,,,,,,,,,
R014,EIRR014,BP027,"Without applying commutation rules, Nuwa uses approximately 34% fewer Swap gates than tket on average, and 66% fewer than SABRE.","Paper-local location: Page 10, Number of Lowest Swap Counts 1 0 0 1 20, character 41211",SWAP gate count,Nuwa,tket and SABRE,quantum circuit placement/routing without commutation,Artifact context: no paper-linked artifact or repository is recorded.,,,,,,,,,,,
R015,EIRR015,BP105,"(3) clearly show that Staq is the fastest of the transpilation pipelines, while the QTS and Tket are over an order of magnitude slower that Qiskit.",Paper-local location: Local text character 30393,transpilation runtime,Staq,"Qiskit, QTS, Tket, and BQSKit",transpilation runtime benchmark,Artifact context: a paper-linked artifact/repository or study-local executable evidence is recorded for this claim. Use the protocol to decide whether this is sufficient for proxy-free re-execution.,,,,,,,,,,,
R016,EIRR016,BP058,"lower, middle and upper quartile values ofXQAOAX=Y 1 are significantly higher than those of the GW algorithm for graphs with D > 4, indicating that XQAOAX=Y 1 is more likely to produce a better solution irrespective of the parameter initialisation strategy.",Paper-local location: Local text character 34964,approximation ratio quartiles / solution quality,XQAOA,Goemans-Williamson algorithm,D-regular MaxCut graphs with D > 4,Artifact context: a cited artifact or repository is recorded as unavailable or inaccessible.,,,,,,,,,,,
R017,EIRR017,BP042,"As a result, these calculations exhibited faster convergence and required fewer iterations than traditional ADAPT-VQE.",Paper-local location: local text scout; exact sentence span in paper_texts,iterations to convergence,CQE calculations,traditional ADAPT-VQE,contracted quantum eigensolver benchmarking,Artifact context: no paper-linked artifact or repository is recorded.,,,,,,,,,,,
R018,EIRR018,BP012,"Despite such diﬀerence, our CNOT-OPT-A algorithm gives much less overhead compared to Qiskit and TKET in most cases.",Paper-local location: Benchmark results,cnot_count_overhead,CNOT-OPT-A,Qiskit/TKET,Clifford+T circuit mapping,Artifact context: a paper-linked artifact/repository or study-local executable evidence is recorded for this claim. Use the protocol to decide whether this is sufficient for proxy-free re-execution.,,,,,,,,,,,
R019,EIRR019,BP034,"In addition, Qiskit Runtime enabled warm-start QAOA ran 18 times faster than the normal implementation of warm-start QAOA, providing similar results in a fraction of the time.",Paper-local location: Runtime results,runtime,Qiskit Runtime warm-start QAOA,normal warm-start QAOA,MaxCut clustering,Artifact context: no paper-linked artifact or repository is recorded.,,,,,,,,,,,
R020,EIRR020,BP027,"On average, Nuwa uses 9.0% fewer Swap gates than tket and 51.8% fewer Swap gates than arct for QSP circuits.","Paper-local location: Page 8, Method (1): linear placement, method (2A): matching-based, character 38381",SWAP gate count,Nuwa,tket and arct,QSP circuit transpilation,Artifact context: no paper-linked artifact or repository is recorded.,,,,,,,,,,,
R021,EIRR021,BP079,"In lowdegree, well-localized circuits, Atomique’s performance falls marginally behind FAA due to higher decoherence incurred by movement.","Paper-local location: Page 10, Atomique 348 306 4995 66 108, character 50057",performance/fidelity,FAA baseline,Atomique,low-degree well-localized circuits,Artifact context: no paper-linked artifact or repository is recorded.,,,,,,,,,,,
R022,EIRR022,BP038,"Interestingly, we found that for UCCSD circuits PyZXPl outperformed dedicated PytketChemPl pipeline on Mock IBM All2All and IonQ architectures.",Paper-local location: worksheet Stage 3 accepted claim,compression performance,PyZXPl,PytketChemPl,UCCSD compilation on Mock IBM All2All and IonQ,,,,,,,,,,,,
R023,EIRR023,BP030,"With a small sacriﬁce in solution quality, the GNN (once trained) is able to generate candidate solutions signiﬁcantly faster than SDP relaxations and the GW algorithm.",Paper-local location: Local text character 30089,candidate-generation time,trained GNN,SDP relaxations and Goemans-Williamson algorithm,MaxCut candidate solution generation,Artifact context: a paper-linked artifact/repository or study-local executable evidence is recorded for this claim. Use the protocol to decide whether this is sufficient for proxy-free re-execution.,,,,,,,,,,,
R024,EIRR024,BP115,"It should be noted, however, that it achieves significantly better probability values between five and ten items compared to the QTGbased AAM-QAOA, with the global maxima being around 0.9 and 0.55, respectively.","Paper-local location: Page 9, Copula-QAOA is rather negligible, even for larger numbers, character 44766",probability value,Copula-QAOA,QTG-based AAM-QAOA,5-10 item knapsack instances,Artifact context: a paper-linked artifact/repository or study-local executable evidence is recorded for this claim. Use the protocol to decide whether this is sufficient for proxy-free re-execution.,,,,,,,,,,,
R025,EIRR025,BP107,"The results show that for this hypergraph, Parity QAOA outperforms vanilla QAOA.","Paper-local location: Page 16, Jijk denote the weights for the corresponding hyperedges, character 74535",approximation ratio/performance,Parity QAOA,vanilla QAOA,hypergraph optimization benchmark,Artifact context: a paper-linked artifact/repository or study-local executable evidence is recorded for this claim. Use the protocol to decide whether this is sufficient for proxy-free re-execution.,,,,,,,,,,,
R026,EIRR026,BP044,"Compared with the existing tool PaF, QRewriting im proved the depth (resp. gate count) reduction by 29% (resp.",Paper-local location: Evaluation,depth_and_gate_count_reduction,QRewriting,PaF,quantum circuit rewriting,Artifact context: a paper-linked artifact/repository or study-local executable evidence is recorded for this claim. Use the protocol to decide whether this is sufficient for proxy-free re-execution.,,,,,,,,,,,
R027,EIRR027,BP054,"In our benchmark with the QISKIT package, the depth of the circuits produ ced by the SQUANDER package (with the DFE accelerator support) were le ss by 97% on average, while the ﬁdelity of the circuits was still close to unity up to an error of ∼ 10−4.",Paper-local location: Local text character 1801,circuit depth,SQUANDER with DFE support,Qiskit,unitary synthesis benchmark,Artifact context: a paper-linked artifact/repository or study-local executable evidence is recorded for this claim. Use the protocol to decide whether this is sufficient for proxy-free re-execution.,,,,,,,,,,,
R028,EIRR028,BP054,In our 9-qubit experiment we achieved a 467 times shallower circuit than with QISKIT.,Paper-local location: Local text character 45969,circuit depth,SQUANDER,Qiskit,9-qubit unitary synthesis,Artifact context: a paper-linked artifact/repository or study-local executable evidence is recorded for this claim. Use the protocol to decide whether this is sufficient for proxy-free re-execution.,,,,,,,,,,,
R029,EIRR029,BP096,"The qiskit-braket-provider demonstrates the best performance, with the lowest transpilation times observed as the gatecount increases.","Paper-local location: Page 5, The time column in those tables reflects the average, character 22096",transpilation time,qiskit-braket-provider,qBraid-SDK and pytket extensions,Qiskit-to-Braket transpilation,Artifact context: no paper-linked artifact or repository is recorded.,,,,,,,,,,,
R030,EIRR030,BP096,"Our results highlight the superior performance of the qiskit-braket-provider, a specialized transpiler from Qiskit to Braket, achieving a remarkably low failure rate of 0.2%.","Paper-local location: Page 1, University of Science and Technology Houari Boumediene, BP 32 Bab Ezzouar , Algiers, 16111, Algeria, character 1398",failure rate,qiskit-braket-provider,qBraid-SDK and pytket extensions,Qiskit-to-Braket transpilation,,,,,,,,,,,,
R031,EIRR031,BP113,"In Table 2, we observe that increasing the depth of QAOA (the number of layers p) results in better Max -Cut solutions.",Paper-local location: worksheet Stage 3 accepted claim,Max-Cut solution quality,higher-depth QAOA,lower-depth QAOA,QAOA depth effect on Max-Cut solution quality,,,,,,,,,,,,
R032,EIRR032,BP004,"In this scenario, Nelder-Mead is the least resilient to this noise, while MPG is the most, and MGD follows.",Paper-local location: local text scout; exact sentence span in paper_texts,noise resilience,MPG optimizer,Nelder-Mead optimizer,VQA optimizer resilience to gate rotation error,,,,,,,,,,,,
R033,EIRR033,BP006,"Evaluation results show that TB-OLSQ is nearly optimal and is able to increase fidelity by 1.30x in geomean, compared to TriQ [15], a leading academic work, and reduce cost by 69.2% in geomean, compared tot|ket⟩ [23], a leading industry work.",Paper-local location: TB-OLSQ evaluation,fidelity_and_cost,TB-OLSQ,TriQ/tket,transition-based layout synthesis,Artifact context: no paper-linked artifact or repository is recorded.,,,,,,,,,,,
R034,EIRR034,BP068,"Furthermore, V Ans builds circuits with the lowest number of gates and cnot gates, probably because it is the only algorit hm that applies simpliﬁcations to remove gates, suggesting th at the other methods could beneﬁt from a similar technique.","Paper-local location: Results, Number of Gates and Cnot",gate_and_cnot_count,VAns,EVQE/RA-VQE/QAOA,QUBO instances,Artifact context: a paper-linked artifact/repository or study-local executable evidence is recorded for this claim. Use the protocol to decide whether this is sufficient for proxy-free re-execution.,,,,,,,,,,,
R035,EIRR035,BP096,Its hub-andspokes architecture centered around Cirq provides respectable transpilation capabilities but at the cost of slower performance compared to the qiskit-braketprovider and the pytket extensions.,"Paper-local location: Page 5, Table I illustrates the performance comparison, character 20545",transpilation speed,qiskit-braket-provider and pytket extensions,qBraid-SDK,multi-SDK transpilation,,,,,,,,,,,,
R036,EIRR036,BP107,"The results show that Parity QAOA when using ˜Cbest as the objective function, has an advantage in terms of CNOT depth but not in CNOT gate count.","Paper-local location: Page 14, Figure 10 shows results of QAOA simulations of, character 65659",CNOT depth,Parity QAOA with Cbest objective,vanilla QAOA,signed Max-Cut QAOA resources,Artifact context: a paper-linked artifact/repository or study-local executable evidence is recorded for this claim. Use the protocol to decide whether this is sufficient for proxy-free re-execution.,,,,,,,,,,,
R037,EIRR037,BP098,"As seen in Figure 5(d), the ansatzes identified by GA-VQA possess more parameters compared to UCCSD ansatz but require significantly less depth.","Paper-local location: Page 7, We apply the GA-VQA scheme to the Hydrogen, character 27013",circuit depth,GA-VQA-found ansatz,UCCSD ansatz,VQE ansatz for hydrogen molecule,Artifact context: a paper-linked artifact/repository or study-local executable evidence is recorded for this claim. Use the protocol to decide whether this is sufficient for proxy-free re-execution.,,,,,,,,,,,
R038,EIRR038,BP065,"Our extensive evaluation on suitable benchmark functions, shows that PUBO formulations generally yield better results, while requiring less qubits.",Paper-local location: Evaluation summary,qubit_count,PUBO formulation,QUBO formulation,continuous optimization with QAOA,,,,,,,,,,,,
R039,EIRR039,BP012,"Hence, in CNOT-OPT-A this eﬀect is mitigated to some extent by conﬁning this reduction in shorter segments, leading to a better performance compared to CNOT-OPT-B.",Paper-local location: CNOT-OPT variant comparison,cnot_count_overhead,CNOT-OPT-A,CNOT-OPT-B,Clifford+T circuit CNOT optimization,Artifact context: a paper-linked artifact/repository or study-local executable evidence is recorded for this claim. Use the protocol to decide whether this is sufficient for proxy-free re-execution.,,,,,,,,,,,
R040,EIRR040,BP016,"When employing a fixed ansatz, we find that PQE can converge disentangled (factorized) UCC wave functions to essentially identical energies as variational optimization while requiring fewer computational resources.",Paper-local location: local text scout; exact sentence span in paper_texts,computational resources for same energies,PQE,variational optimization / VQE,fixed-ansatz quantum eigensolver,Artifact context: a paper-linked artifact/repository or study-local executable evidence is recorded for this claim. Use the protocol to decide whether this is sufficient for proxy-free re-execution.,,,,,,,,,,,
R041,EIRR041,BP086,"Experiments on standard benchmark graphs with several hundred nodes in the MAX-CUT problem, conducted in a fully classical manner using a tensor network technique, show that RQRAO not only outperforms the Goemans-Williamson and recursive QAOA methods, but also is comparable to state-of-the-art classical solvers.",Paper-local location: Local text character 1246,solution quality / approximation ratio,RQRAO,Goemans-Williamson and recursive QAOA,Max-Cut benchmark graphs with hundreds of nodes,Artifact context: a paper-linked artifact/repository or study-local executable evidence is recorded for this claim. Use the protocol to decide whether this is sufficient for proxy-free re-execution.,,,,,,,,,,,
R042,EIRR042,BP054,"Considering the depth me tric, the circuits generated by SQUANDER are in average 19 times shallower than the QISKIT generated circuits for the two 6-qubit experiments addressed in our benchmark comparison.",Paper-local location: Local text character 45544,circuit depth,SQUANDER,Qiskit,6-qubit unitary synthesis,Artifact context: a paper-linked artifact/repository or study-local executable evidence is recorded for this claim. Use the protocol to decide whether this is sufficient for proxy-free re-execution.,,,,,,,,,,,
R043,EIRR043,BP079,"On average, our qubit-array mapper gives rise to 3.53 × better fidelity than the dense mapper and subsequent diagonal-first qubit-atom mapper gives rise to 1.19 × higher fidelity.","Paper-local location: Page 12, Benchmarks are 100Q arbitrary circuit with ten gates per qubit;, character 62128",fidelity,qubit-array plus diagonal-first mappers,dense mapper baseline,Atomique qubit/atom mapping,,,,,,,,,,,,
R044,EIRR044,BP117,"However, the MF-AOA results require hardly any computational effort, while the angle optimization going into the QAOA results consumes considerable resources (besides being problematic on noisy quantum hardware [6, 8–10]).",Paper-local location: Local text character 30922,computational effort,MF-AOA,QAOA angle optimization,computational effort of QAOA vs MF-AOA on Max-kXOR,,,,,,,,,,,,
R045,EIRR045,BP102,"For instance, at 65 qubits, our method takes only 0.012 seconds, compared to 292 seconds for QAIM and 0.8 seconds for the Structured Method.",Paper-local location: Local text character 25186,compilation time,Coqa/proposed method,QAIM and Structured Method,65-qubit QAOA compilation,,,,,,,,,,,,
R046,EIRR046,BP070,"In the case of the \""stronglyentangling-layers\"" Ansatz we utilized, it grows logarithmically with the number of nodes, resulting in circuit layers that are exponentially shallower than in QAOA.",Paper-local location: Local text character 32107,circuit layer depth,QEMC strongly-entangling-layers ansatz,QAOA,QEMC circuit architecture,Artifact context: a paper-linked artifact/repository or study-local executable evidence is recorded for this claim. Use the protocol to decide whether this is sufficient for proxy-free re-execution.,,,,,,,,,,,
R047,EIRR047,BP054,"According to our numerical experiments, the DFE implementa tion on a single FPGA chip can evaluate the cost function (1) and its gradi ent components by about (6 − 13)× faster than our CPU implementation on a computing server equipped with 32-Core AMD EPYC 7542 Processor (providing 64 threads with multi-threading) and with 128GB of memory.",Paper-local location: Local text character 36115,cost-function/gradient evaluation speed,DFE implementation on FPGA,CPU implementation,SQUANDER cost-function evaluation,Artifact context: a paper-linked artifact/repository or study-local executable evidence is recorded for this claim. Use the protocol to decide whether this is sufficient for proxy-free re-execution.,,,,,,,,,,,
R048,EIRR048,BP011,"For all studied species, FCI/IAO and q-UCCSD/IAO binding energies are in better agreement with CCSD/aug-cc-pVQZ binding energies than their counterparts at STO-6G level.",Paper-local location: local text scout; exact sentence span in paper_texts,binding-energy agreement with CCSD/aug-cc-pVQZ,FCI/IAO and q-UCCSD/IAO,STO-6G counterparts,IAO quantum chemistry simulation,Artifact context: no paper-linked artifact or repository is recorded.,,,,,,,,,,,
R049,EIRR049,BP022,From Table S9 it is clear that Pennylane-qulacs is on average about 2 times faster than Pennylane default and about 3 times faster than Pennylane-qiskit in calculations of the gradients.,Paper-local location: local text scout; exact sentence span in paper_texts,gradient calculation runtime,Pennylane-qulacs,Pennylane default and Pennylane-qiskit,VQLS gradient backend implementation,Artifact context: no paper-linked artifact or repository is recorded.,,,,,,,,,,,
R050,EIRR050,BP042,"The conjugate gradient approach appears to be better but shows strong oscillations in the gradient norm (note if we loosen the update parameter, these oscillations decrease, but we do not observe a signiﬁcant increase in convergence).",Paper-local location: local text scout; exact sentence span in paper_texts,convergence behavior,nonlinear conjugate-gradient CQE,gradient-descent CQE approaches,CQE optimizer selection,Artifact context: no paper-linked artifact or repository is recorded.,,,,,,,,,,,
R051,EIRR051,BP038,"Overall, the performance of Qiskit and Pytket routing/mapping subroutines is very similar for a wide range of values of k according to CX count overhead metric.",Paper-local location: worksheet Stage 3 accepted claim,CX count overhead,Qiskit Transpile,Pytket DefaultMapping,routing/mapping on random k-regular graphs,,,,,,,,,,,,
R052,EIRR052,BP107,"In terms of CNOT gate count, the Parity QAOA circuit for the complete graph N = 7 comprises about 3 .1 times fewer and the circuit for the 4-regular graph N = 8 has 2 .5 times fewer gates.","Paper-local location: Page 13, Parity QAOA circuit has a depth 5 times smaller than, character 58943",CNOT gate count,Parity QAOA,vanilla QAOA,small signed Max-Cut instances,,,,,,,,,,,,
R053,EIRR053,BP091,"The HOBO formulation is comparable up until k + 1 = 5 ; after that, ⌈log2 k⌉ = 3 , and therefore, the number of terms increases the circuit depth per QAOA layer drastically.",Paper-local location: Local text character 50212,circuit depth per QAOA layer,XY/QUBO formulations,HOBO formulation beyond k+1=5,TSP QAOA formulation,Artifact context: a paper-linked artifact/repository or study-local executable evidence is recorded for this claim. Use the protocol to decide whether this is sufficient for proxy-free re-execution.,,,,,,,,,,,
R054,EIRR054,BP045,"Additionally, we also show in Figure 3 that this gain is not won at the cost of total two-qubit gates – the latter remains signiﬁcantly lower with our approach compared to QISkit.","Paper-local location: Page 5, In Figure 2, we see a clear improvement over QISkit in, character 26438",total two-qubit gate count,MultiQopt/proposed approach,Qiskit,multi-QPU circuit compilation,Artifact context: a paper-linked artifact/repository or study-local executable evidence is recorded for this claim. Use the protocol to decide whether this is sufficient for proxy-free re-execution.,,,,,,,,,,,
R055,EIRR055,BP056,D-Wave devices performance diﬀerences: One last observation from Figure 6 is that there a small but consistent performance diﬀerence between the two quantum annealers; the slightly older generationAdvantage system4.1 yields lower mean energy thanAdvantage system6.1.,Paper-local location: D-Wave device comparison,mean_energy,Advantage system4.1,Advantage system6.1,higher-order Ising quantum annealing,,,,,,,,,,,,
R056,EIRR056,BP115,"The Copula-QAOA performs better initially, but shows a quicker decline, even for larger numbers of angles.","Paper-local location: Page 9, Copula-QAOA is rather negligible, even for larger numbers, character 44473",performance retention as size increases,QTG-QAOA,Copula-QAOA,knapsack QAOA scaling,,,,,,,,,,,,
R057,EIRR057,BP093,"We find a scaling improvement in terms of the timeto-solution (TTS) [14] when using LR-QAOA compared to SA, TABU search, and B&B for solving random instances of WMaxcut.",Paper-local location: TTS scaling results,time_to_solution_scaling,LR-QAOA,SA/TABU/B&B,random WMaxCut,Artifact context: a paper-linked artifact/repository or study-local executable evidence is recorded for this claim. Use the protocol to decide whether this is sufficient for proxy-free re-execution.,,,,,,,,,,,
R058,EIRR058,BP066,"As opposed, the TTOpt outperforms the BFGS optimizer for L = 2 − 4 layers, but its convergence improves with L slower and can not compete in this regard to a gradient-based optimization for large L.",Paper-local location: local text scout; exact sentence span in paper_texts,optimized cost / convergence for L=2-4 layers,TTOpt,BFGS optimizer,VQE optimizer comparison for shallow HVA circuits,Artifact context: a paper-linked artifact/repository or study-local executable evidence is recorded for this claim. Use the protocol to decide whether this is sufficient for proxy-free re-execution.,,,,,,,,,,,
R059,EIRR059,BP072,"First, the ESOP synthesis and TBS methods provide different advantages: while ESOP nearly always produces circuits with lower complexity, TBS generally produces circuits with fewer qubits than ESOP synthesis.",Paper-local location: Synthesis-method comparison,circuit_complexity,ESOP synthesis,TBS synthesis,automated subcircuit synthesis,,,,,,,,,,,,
R060,EIRR060,BP038,"For random phase polynomial [ CX, Rz] circuits, PyZX outperforms competitors by a large margin in terms of CX count reduction, although by the expense of increasing of single-qubit gate count.",Paper-local location: worksheet Stage 3 accepted claim,CX count reduction,PyZX,Qiskit/Pytket/Cirq competitors,random phase-polynomial circuit compression,,,,,,,,,,,,
