item_id,claim_id,recode_claim_card_specifiable,recode_scalar_directional,recode_relation_type,recode_planning_feasible,recode_auditable_design,recode_design_type,recode_materialization_boundary,recode_T1_exact_defensible
S001,ext_2202_14025v1_legacy_claim12,true,true,scalar_directional,true,yes,proxy_free_exact,none,yes
S002,ext_2202_14025v1_legacy_claim6,true,true,scalar_directional,true,yes,proxy_free_exact,none,yes
S003,ext_2304_08814v2_claim5,true,true,scalar_directional,true,yes,proxy_free_exact,none,yes
S004,ext_2409_08844v2_claim1,true,true,scalar_directional,true,yes,proxy_free_exact,none,yes
S005,ext_2409_08844v2_claim3,true,true,scalar_directional,true,yes,proxy_free_exact,none,yes
S006,ext_2409_08844v2_claim4,true,true,scalar_directional,true,yes,proxy_free_exact,none,yes
S007,ext_2411_00518v2_claim1,true,true,scalar_directional,true,yes,proxy_free_exact,none,yes
S008,ext_2411_00518v2_claim3,true,true,scalar_directional,true,yes,proxy_free_exact,none,yes
S009,ext_2005_11011v2_claim3,true,true,scalar_directional,false,yes,source_supported_extension,missing_artifact,not_applicable
S010,ext_2008_02941v2_claim2,false,false,unclear_boundary,false,no,boundary,missing_comparator,not_applicable
S011,ext_2108_02099v2_claim3,true,true,scalar_directional,false,yes,source_supported_extension,missing_artifact,not_applicable
S012,ext_2202_14025v1_legacy_claim11,true,false,multi_objective,true,yes,source_supported_extension,non_scalar_relation,not_applicable
S013,ext_2202_14025v1_legacy_claim5,true,false,equality,true,yes,source_supported_extension,non_scalar_relation,not_applicable
S014,ext_2304_03829v1_claim4,true,true,scalar_directional,false,yes,source_supported_extension,missing_artifact,not_applicable
S015,ext_2305_03390v1_claim1,true,false,multi_objective,true,yes,source_supported_extension,non_scalar_relation,not_applicable
S016,ext_2308_02536v1_legacy_claim1,true,true,scalar_directional,false,yes,source_supported_extension,missing_seed_policy,not_applicable
S017,ext_2309_01028v2_claim4,true,false,multi_objective,true,yes,source_supported_extension,non_scalar_relation,not_applicable
S018,ext_2309_01028v2_claim5,true,true,scalar_directional,true,yes,source_supported_extension,missing_baseline_implementation,not_applicable
S019,ext_2409_15055v2_claim2,true,false,crossover_regional,false,yes,source_supported_extension,non_scalar_relation,not_applicable
S020,ext_2411_00518v2_claim2,true,false,crossover_regional,false,yes,source_supported_extension,non_scalar_relation,not_applicable
S021,ext_2110_00592v2_claim1,true,false,unclear_boundary,true,no,boundary,source_inconsistency,not_applicable
S022,ext_2110_00592v2_claim2,true,false,unclear_boundary,true,no,boundary,source_inconsistency,not_applicable
S023,ext_2110_00592v2_claim4,false,false,unclear_boundary,false,no,boundary,missing_comparator,not_applicable
S024,ext_2206_09938v2_claim2,true,false,unclear_boundary,true,no,boundary,source_inconsistency,not_applicable
S025,ext_2208_13380v2_claim2,false,false,unclear_boundary,false,no,boundary,missing_comparator,not_applicable
S026,ext_2303_02830v1_claim1,true,false,unclear_boundary,true,no,boundary,invalid_runtime_environment,not_applicable
S027,ext_2405_09169v3_claim4,false,false,unclear_boundary,false,no,boundary,missing_comparator,not_applicable
S028,ext_2408_13316v2_claim2,false,false,unclear_boundary,false,no,boundary,missing_comparator,not_applicable
S029,ext_2409_14786v3_claim3,true,true,scalar_directional,true,yes,source_supported_extension,missing_baseline_implementation,not_applicable
S030,ext_2409_14786v3_claim4,true,true,scalar_directional,true,yes,source_supported_extension,missing_baseline_implementation,not_applicable
S031,ext_2007_15671v1_claim3,true,false,relation_specific,true,yes,source_supported_extension,missing_evidence_object,not_applicable
S032,ext_2007_15671v1_claim4,true,false,relation_specific,true,yes,source_supported_extension,missing_evidence_object,not_applicable
S033,ext_2007_15671v1_claim5,true,false,relation_specific,true,yes,source_supported_extension,missing_evidence_object,not_applicable
S034,ext_2009_13545v3_claim1,true,false,relation_specific,true,yes,source_supported_extension,missing_evidence_object,not_applicable
S035,ext_2009_13545v3_claim3,true,false,relation_specific,true,yes,source_supported_extension,missing_evidence_object,not_applicable
S036,ext_2101_08526v7_claim1,true,false,multi_objective,true,yes,source_supported_extension,non_scalar_relation,not_applicable
S037,ext_2101_10296v3_claim3,true,false,aggregate,true,yes,source_supported_extension,non_scalar_relation,not_applicable
S038,ext_2102_00345v2_claim3,true,false,categorical_equal_or_better,true,yes,source_supported_extension,non_scalar_relation,not_applicable
S039,ext_2107_08606v3_claim1,true,false,multi_objective,true,yes,source_supported_extension,non_scalar_relation,not_applicable
S040,ext_2107_08606v3_claim2,true,false,relation_specific,true,yes,source_supported_extension,invalid_runtime_environment,not_applicable
S041,ext_2110_10788v3_claim1,true,false,multi_objective,true,yes,source_supported_extension,non_scalar_relation,not_applicable
S042,ext_2111_13454v3_claim4,true,false,multi_objective,true,yes,source_supported_extension,non_scalar_relation,not_applicable
S043,ext_2112_03199v4_claim2,true,false,relation_specific,true,yes,source_supported_extension,invalid_runtime_environment,not_applicable
S044,ext_2202_14025v1_legacy_claim1,true,false,multi_objective,true,yes,source_supported_extension,non_scalar_relation,not_applicable
S045,ext_2202_14025v1_legacy_claim13,true,false,multi_objective,true,yes,source_supported_extension,non_scalar_relation,not_applicable
S046,ext_2202_14025v1_legacy_claim19,true,false,multi_objective,true,yes,source_supported_extension,non_scalar_relation,not_applicable
S047,ext_2202_14025v1_legacy_claim3,true,false,multi_objective,true,yes,source_supported_extension,non_scalar_relation,not_applicable
S048,ext_2204_10741v2_claim1,true,false,multi_objective,true,yes,source_supported_extension,non_scalar_relation,not_applicable
S049,ext_2204_13719v3_claim2,true,false,multi_objective,true,yes,source_supported_extension,non_scalar_relation,not_applicable
S050,ext_2206_06684v1_claim1,true,false,relation_specific,true,yes,source_supported_extension,invalid_runtime_environment,not_applicable
S051,ext_2209_02669v3_claim1,true,false,relation_specific,true,yes,source_supported_extension,missing_evidence_object,not_applicable
S052,ext_2209_02669v3_claim2,true,false,relation_specific,true,yes,source_supported_extension,missing_evidence_object,not_applicable
S053,ext_2002_11724v2_claim2,true,true,scalar_directional,false,yes,source_supported_extension,missing_artifact,not_applicable
S054,ext_2002_11724v2_claim3,true,true,scalar_directional,false,yes,source_supported_extension,missing_artifact,not_applicable
S055,ext_2102_06813v1_claim2,true,true,scalar_directional,false,yes,source_supported_extension,missing_artifact,not_applicable
S056,ext_2103_08563v3_claim2,true,true,scalar_directional,false,yes,source_supported_extension,missing_artifact,not_applicable
S057,ext_2107_08606v3_claim3,true,true,scalar_directional,false,yes,source_supported_extension,missing_artifact,not_applicable
S058,ext_2112_03199v4_claim3,true,true,scalar_directional,false,yes,source_supported_extension,missing_artifact,not_applicable
S059,ext_2112_03199v4_claim4,true,true,scalar_directional,false,yes,source_supported_extension,missing_artifact,not_applicable
S060,ext_2112_07416v2_claim3,true,true,scalar_directional,false,yes,source_supported_extension,missing_artifact,not_applicable
S061,ext_2202_14025v1_legacy_claim8,true,true,scalar_directional,false,yes,source_supported_extension,missing_hardware_noise,not_applicable
S062,ext_2204_10741v2_claim2,true,true,scalar_directional,false,yes,source_supported_extension,missing_artifact,not_applicable
S063,ext_2204_10741v2_claim3,true,true,scalar_directional,false,yes,source_supported_extension,missing_artifact,not_applicable
S064,ext_2205_01192v1_claim1,true,true,scalar_directional,false,yes,source_supported_extension,missing_artifact,not_applicable
S065,ext_2205_01192v1_claim2,true,true,scalar_directional,false,yes,source_supported_extension,missing_artifact,not_applicable
S066,ext_2205_01192v1_claim3,true,true,scalar_directional,false,yes,source_supported_extension,missing_artifact,not_applicable
S067,ext_2205_03441v1_claim4,true,true,scalar_directional,false,yes,source_supported_extension,missing_artifact,not_applicable
S068,ext_2212_11405v1_claim2,true,true,scalar_directional,false,yes,source_supported_extension,missing_artifact,not_applicable
S069,ext_2212_11405v1_claim3,true,true,scalar_directional,false,yes,source_supported_extension,missing_artifact,not_applicable
S070,ext_2301_00520v2_claim5,true,true,scalar_directional,false,yes,source_supported_extension,missing_hardware_noise,not_applicable
S071,ext_2007_15671v1_claim2,true,true,scalar_directional,true,yes,source_supported_extension,missing_evidence_object,not_applicable
S072,ext_2008_02941v2_claim3,true,true,scalar_directional,true,yes,source_supported_extension,missing_baseline_implementation,not_applicable
S073,ext_2009_03351v3_claim2,true,true,scalar_directional,true,yes,source_supported_extension,missing_baseline_implementation,not_applicable
S074,ext_2011_08137v3_claim2,true,true,scalar_directional,true,yes,source_supported_extension,missing_baseline_implementation,not_applicable
S075,ext_2011_08137v3_claim4,true,true,scalar_directional,true,yes,source_supported_extension,missing_baseline_implementation,not_applicable
S076,ext_2011_12191v4_claim1,true,true,scalar_directional,true,yes,source_supported_extension,missing_evidence_object,not_applicable
S077,ext_2011_12191v4_claim2,true,true,scalar_directional,true,yes,source_supported_extension,source_inconsistency,not_applicable
S078,ext_2011_12191v4_claim5,true,true,scalar_directional,true,yes,source_supported_extension,missing_evidence_object,not_applicable
S079,ext_2102_00345v2_claim1,true,true,scalar_directional,true,yes,source_supported_extension,missing_baseline_implementation,not_applicable
S080,ext_2110_00592v2_claim3,true,true,scalar_directional,true,yes,source_supported_extension,source_inconsistency,not_applicable
S081,ext_2111_03016v3_claim3,true,true,scalar_directional,true,yes,source_supported_extension,missing_baseline_implementation,not_applicable
S082,ext_2202_14025v1_legacy_claim22,true,true,scalar_directional,true,yes,source_supported_extension,missing_baseline_implementation,not_applicable
S083,ext_2205_01726v1_claim1,true,true,scalar_directional,true,yes,source_supported_extension,missing_baseline_implementation,not_applicable
S084,ext_2205_01726v1_claim5,true,true,scalar_directional,true,yes,source_supported_extension,missing_baseline_implementation,not_applicable
S085,ext_2206_06684v1_claim2,true,true,scalar_directional,true,yes,source_supported_extension,missing_baseline_implementation,not_applicable
S086,ext_2211_07685v3_claim3,true,true,scalar_directional,true,yes,source_supported_extension,missing_baseline_implementation,not_applicable
S087,ext_2301_00520v2_claim3,true,true,scalar_directional,true,yes,source_supported_extension,missing_baseline_implementation,not_applicable
S088,ext_2302_04479v2_claim1,true,true,scalar_directional,true,yes,source_supported_extension,missing_baseline_implementation,not_applicable
S089,ext_2302_04479v2_claim2,true,true,scalar_directional,true,yes,source_supported_extension,missing_baseline_implementation,not_applicable
S090,ext_2302_04479v2_claim3,true,true,scalar_directional,true,yes,source_supported_extension,missing_baseline_implementation,not_applicable
S091,ext_2304_08814v2_claim4,true,true,scalar_directional,true,yes,source_supported_extension,missing_baseline_implementation,not_applicable
S092,ext_2305_03390v1_claim3,true,true,scalar_directional,true,yes,source_supported_extension,missing_baseline_implementation,not_applicable
S093,ext_2306_02024v1_claim1,true,true,scalar_directional,true,yes,source_supported_extension,missing_baseline_implementation,not_applicable
S094,ext_2308_01789v1_claim1,true,true,scalar_directional,true,yes,source_supported_extension,missing_baseline_implementation,not_applicable
S095,ext_2211_07685v3_claim1,true,false,relation_specific,true,yes,source_supported_extension,source_inconsistency,not_applicable
S096,ext_2211_07685v3_claim2,true,false,relation_specific,true,yes,source_supported_extension,source_inconsistency,not_applicable
S097,ext_2211_07685v3_claim4,true,false,relation_specific,true,yes,source_supported_extension,missing_evidence_object,not_applicable
S098,ext_2212_11405v1_claim1,true,false,multi_objective,true,yes,source_supported_extension,non_scalar_relation,not_applicable
S099,ext_2303_08910v3_claim1,true,true,scalar_directional,false,yes,source_supported_extension,missing_artifact,not_applicable
S100,ext_2304_03829v1_claim2,true,true,scalar_directional,false,yes,source_supported_extension,missing_artifact,not_applicable
S101,ext_2304_03829v1_claim3,true,true,scalar_directional,false,yes,source_supported_extension,missing_artifact,not_applicable
S102,ext_2304_08814v2_claim6,true,false,relation_specific,true,yes,source_supported_extension,missing_evidence_object,not_applicable
S103,ext_2304_08814v2_claim7,true,false,relation_specific,true,yes,source_supported_extension,missing_evidence_object,not_applicable
S104,ext_2305_03390v1_claim2,true,true,scalar_directional,false,yes,source_supported_extension,missing_hardware_noise,not_applicable
S105,ext_2308_01789v1_claim2,true,true,scalar_directional,true,yes,source_supported_extension,missing_baseline_implementation,not_applicable
S106,ext_2308_02536v1_legacy_claim2,true,true,scalar_directional,true,yes,source_supported_extension,missing_baseline_implementation,not_applicable
S107,ext_2308_10383v2_claim4,true,true,scalar_directional,true,yes,source_supported_extension,missing_baseline_implementation,not_applicable
S108,ext_2309_00047v1_claim1,true,true,scalar_directional,false,yes,source_supported_extension,missing_artifact,not_applicable
S109,ext_2309_00047v1_claim2,true,true,scalar_directional,false,yes,source_supported_extension,missing_artifact,not_applicable
S110,ext_2309_00047v1_claim3,true,true,scalar_directional,false,yes,source_supported_extension,missing_artifact,not_applicable
S111,ext_2309_00047v1_claim5,true,true,scalar_directional,false,yes,source_supported_extension,missing_artifact,not_applicable
S112,ext_2309_04754v1_claim1,true,true,scalar_directional,true,yes,source_supported_extension,missing_baseline_implementation,not_applicable
S113,ext_2309_05157v1_claim1,true,false,relation_specific,true,yes,source_supported_extension,missing_evidence_object,not_applicable
S114,ext_2309_05157v1_claim2,true,false,relation_specific,true,yes,source_supported_extension,missing_evidence_object,not_applicable
S115,ext_2309_05157v1_claim6,true,true,scalar_directional,false,yes,source_supported_extension,missing_hardware_noise,not_applicable
S116,ext_2309_16796v3_claim1,true,true,scalar_directional,false,yes,source_supported_extension,missing_artifact,not_applicable
S117,ext_2309_16796v3_claim2,true,true,scalar_directional,false,yes,source_supported_extension,missing_artifact,not_applicable
S118,ext_2309_16796v3_claim3,true,true,scalar_directional,false,yes,source_supported_extension,missing_artifact,not_applicable
S119,ext_2310_10360v2_claim2,true,true,scalar_directional,false,yes,source_supported_extension,missing_artifact,not_applicable
S120,ext_2311_02151v2_claim1,true,true,scalar_directional,false,yes,source_supported_extension,missing_artifact,not_applicable
