claim_id,anonymized_paper_id,source_group,domain_or_paradigm,baselines,metric,asserted_direction,materialization_tier,tier_confidence,completed_external_audit,artifact_status,paper_description_sufficiency,materialization_status,missing_elements,estimated_implementation_effort,include_in_main_audit_if_implemented,paper_use,reason_for_tier,evidence_source,evidence_pointer,notes
ext_2309_05157v1_claim1,P32,P32,transpiler/compiler,Superstaq vs Qiskit optimization_level=3,hellinger_fidelity,A > B,T4,high,no,not_provided,insufficient,no_go,artifact;baseline;data;metric,no_go,no,excluded,A required comparator or solver stack is not available as a local executable artifact. The metric requires a paper-specific measurement/fidelity model.,worksheet;audit_plan;operationalizability_filter,artifact/field_study/claims/extracted_claims_457.csv worksheet-derived row: 2309.05157v1.md; operationalizability label row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2309_05157v1_claim2,P32,P32,VQE/chemistry/ansatz,Superstaq DD vs Qiskit baseline,relative_strength_or_success,A > B,T4,high,no,not_provided,insufficient,no_go,artifact;baseline;data,no_go,no,excluded,A required comparator or solver stack is not available as a local executable artifact.,worksheet;audit_plan;operationalizability_filter,artifact/field_study/claims/extracted_claims_457.csv worksheet-derived row: 2309.05157v1.md; operationalizability label row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2410_04030v1_claim1,P43,P43,optimization/QAOA,QUBO encoding vs penalty dephasing/Zeno encoding,ancilla_qubits_and_two_qubit_gates,A < B,T3,medium,no,available,partial,high_effort,artifact;hyperparameters;instance_generator;optimizer;other;resource_budget,high,no,artifact_only,The variational claim needs an optimizer/seed/budget surface; the paper-level claim is audit-eligible but not proxy-free executable from current artifacts.,worksheet;audit_plan;operationalizability_filter,artifact/field_study/claims/extracted_claims_457.csv worksheet-derived row: 2410.04030v1.md; operationalizability label row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2410_04030v1_claim2,P43,P43,optimization/QAOA,penalty dephasing/Zeno encoding vs QUBO encoding,optimization_iterations_and_runtime,A < B,T3,medium,no,available,partial,high_effort,artifact;hyperparameters;instance_generator;optimizer;resource_budget,high,no,artifact_only,The variational claim needs an optimizer/seed/budget surface; the paper-level claim is audit-eligible but not proxy-free executable from current artifacts. Runtime metrics also require host/environment normalization.,worksheet;audit_plan;operationalizability_filter,artifact/field_study/claims/extracted_claims_457.csv worksheet-derived row: 2410.04030v1.md; operationalizability label row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2405_09169v3_claim1,P37,P37,optimization/QAOA,LR-QAOA vs SA/TABU/B&B,time_to_solution_scaling,A > B,T3,high,no,available,partial,high_effort,artifact;baseline;hyperparameters;resource_budget,high,no,artifact_only,The claim depends on a paper-specific algorithm/baseline; implementing it would require inferred settings or substitute components. Runtime metrics also require host/environment normalization.,worksheet;audit_plan;operationalizability_filter,artifact/field_study/claims/extracted_claims_457.csv worksheet-derived row: 2405.09169v3.md; operationalizability label row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2405_09169v3_claim3,P37,P37,optimization/QAOA,LR-QAOA p=3 vs LR-QAOA p=40,time_and_two_qubit_gates_at_same_ratio,A < B,T3,high,no,available,partial,high_effort,artifact;baseline;hyperparameters;resource_budget,high,no,artifact_only,The claim depends on a paper-specific algorithm/baseline; implementing it would require inferred settings or substitute components. Runtime metrics also require host/environment normalization.,worksheet;audit_plan;operationalizability_filter,artifact/field_study/claims/extracted_claims_457.csv worksheet-derived row: 2405.09169v3.md; operationalizability label row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2301_00520v2_claim3,P22,P22,optimization/QAOA,2-round QAOA vs 1-round QAOA,average_energy,A < B,T3,medium,no,available,partial,high_effort,artifact;hyperparameters;instance_generator;optimizer;resource_budget,high,no,artifact_only,The variational claim needs an optimizer/seed/budget surface; the paper-level claim is audit-eligible but not proxy-free executable from current artifacts.,worksheet;audit_plan;operationalizability_filter,artifact/field_study/claims/extracted_claims_457.csv worksheet-derived row: 2301.00520v2.md; operationalizability label row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2409_08844v2_claim1,P41,P41,benchmark/toolkit,Cirq vs Qiskit / nearest competitor,construction time,A < B,T1,high,yes,already_materialized,sufficient,completed,,already_executable,yes,main_external_audit_candidate,Completed as an N=80 external audit with an existing faithful adapter or artifact-backed materialization.,local_adapter,paper/output/figures/section5/external_forest_data.csv (EX-C8 row); paper/output/figures/section5/per_claim_external_audit.csv (EX-C8),Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2409_08844v2_claim3,P41,P41,transpiler/compiler,"Qiskit vs BQSKit, Staq, and Tket",2Q gate count,A < B,T1,high,yes,already_materialized,sufficient,completed,,already_executable,yes,main_external_audit_candidate,Completed as an N=80 external audit with an existing faithful adapter or artifact-backed materialization.,local_adapter,paper/output/figures/section5/external_forest_data.csv (EX-C7 row); paper/output/figures/section5/per_claim_external_audit.csv (EX-C7),Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2409_08844v2_claim4,P41,P41,transpiler/compiler,Tket vs Qiskit,2Q gate depth,A < B,T1,high,yes,already_materialized,sufficient,completed,,already_executable,yes,main_external_audit_candidate,Completed as an N=80 external audit with an existing faithful adapter or artifact-backed materialization.,local_adapter,paper/output/figures/section5/external_forest_data.csv (EX-C5 row); paper/output/figures/section5/per_claim_external_audit.csv (EX-C5),Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2409_08844v2_claim6,P41,P41,transpiler/compiler,"Staq vs Qiskit, QTS, Tket, and BQSKit",transpilation runtime,A < B,T3,medium,no,available,partial,high_effort,artifact;hyperparameters;instance_generator;optimizer;resource_budget,high,no,artifact_only,The variational claim needs an optimizer/seed/budget surface; the paper-level claim is audit-eligible but not proxy-free executable from current artifacts. Runtime metrics also require host/environment normalization.,worksheet;audit_plan;operationalizability_filter,artifact/field_study/claims/extracted_claims_457.csv worksheet-derived row: 2409.08844v2.md; operationalizability label row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2403_02045v3_claim1,P35,P35,optimization/QAOA,RQRAO vs Goemans-Williamson and recursive QAOA,solution quality / approximation ratio,A > B,T3,high,no,available,partial,high_effort,artifact;baseline;hyperparameters,high,no,artifact_only,The claim depends on a paper-specific algorithm/baseline; implementing it would require inferred settings or substitute components.,worksheet;audit_plan;operationalizability_filter,artifact/field_study/claims/extracted_claims_457.csv worksheet-derived row: 2403.02045v3.md; operationalizability label row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2401_02852v1_claim2,P34,P34,optimization/QAOA,QAOA vs WalkSATlm and WalkSATm2b2,median running time / scaling,A > B,T3,high,no,available,partial,high_effort,artifact;baseline;hyperparameters;resource_budget,high,no,artifact_only,The claim depends on a paper-specific algorithm/baseline; implementing it would require inferred settings or substitute components. Runtime metrics also require host/environment normalization.,worksheet;audit_plan;operationalizability_filter,artifact/field_study/claims/extracted_claims_457.csv worksheet-derived row: 2401.02852v1.md; operationalizability label row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2308_10383v2_claim4,P30,P30,optimization/QAOA,QEMC strongly-entangling-layers ansatz vs QAOA,circuit layer depth,A < B,T3,high,no,available,partial,high_effort,artifact;baseline;hyperparameters,high,no,artifact_only,The claim depends on a paper-specific algorithm/baseline; implementing it would require inferred settings or substitute components.,worksheet;audit_plan;operationalizability_filter,artifact/field_study/claims/extracted_claims_457.csv worksheet-derived row: 2308.10383v2.md; operationalizability label row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2302_04479v2_claim1,P23,P23,optimization/QAOA,"XQAOA vs QAOA, MA-QAOA, and CR algorithm",approximation ratio / solution quality,A > B,T3,high,no,unavailable,partial,high_effort,data;artifact;baseline;optimizer;hyperparameters,high,no,artifact_only,XQAOA paper-cited dataset/scripts are unavailable; local D-regular graph generation would be a proxy dataset.,repo_check,git ls-remote XQAOADataset returned repository not found,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2302_04479v2_claim2,P23,P23,optimization/QAOA,XQAOA_Y at p=1 vs QAOA at p=1,approximation ratio,A > B,T3,high,no,available,partial,high_effort,artifact;baseline;hyperparameters,high,no,artifact_only,The claim depends on a paper-specific algorithm/baseline; implementing it would require inferred settings or substitute components.,worksheet;audit_plan;operationalizability_filter,artifact/field_study/claims/extracted_claims_457.csv worksheet-derived row: 2302.04479v2.md; operationalizability label row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2302_04479v2_claim3,P23,P23,optimization/QAOA,XQAOA vs Goemans-Williamson algorithm,approximation ratio quartiles / solution quality,A > B,T3,high,no,unavailable,partial,high_effort,data;artifact;baseline;optimizer;hyperparameters,high,no,artifact_only,"XQAOA-vs-GW needs the original graph set, optimum values, and GW/plot scripts; replacing them would be proxy reproduction.",repo_check,git ls-remote XQAOADataset returned repository not found,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2111_03016v3_claim3,P14,P14,optimization/QAOA,trained GNN vs SDP relaxations and Goemans-Williamson algorithm,candidate-generation time,A < B,T3,medium,no,available,partial,high_effort,artifact;hyperparameters;instance_generator;optimizer;resource_budget,high,no,artifact_only,The variational claim needs an optimizer/seed/budget surface; the paper-level claim is audit-eligible but not proxy-free executable from current artifacts. Runtime metrics also require host/environment normalization.,worksheet;audit_plan;operationalizability_filter,artifact/field_study/claims/extracted_claims_457.csv worksheet-derived row: 2111.03016v3.md; operationalizability label row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2309_04754v1_claim1,P31,P31,other,AISO vs standard VQA,input-state copies / quantum resources,A < B,T3,high,no,available,partial,high_effort,artifact;baseline;hyperparameters;other,high,no,artifact_only,The claim depends on a paper-specific algorithm/baseline; implementing it would require inferred settings or substitute components.,worksheet;audit_plan;operationalizability_filter,artifact/field_study/claims/extracted_claims_457.csv worksheet-derived row: 2309.04754v1.md; operationalizability label row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2306_02024v1_claim1,P27,P27,VQE/chemistry/ansatz,TTOpt vs BFGS optimizer,optimized cost / convergence for L=2-4 layers,A > B,T3,high,no,available,partial,high_effort,artifact;baseline;hyperparameters,high,no,artifact_only,The claim depends on a paper-specific algorithm/baseline; implementing it would require inferred settings or substitute components.,worksheet;audit_plan;operationalizability_filter,artifact/field_study/claims/extracted_claims_457.csv worksheet-derived row: 2306.02024v1.md; operationalizability label row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2205_01726v1_claim5,P17,P17,VQE/chemistry/ansatz,CQE calculations vs traditional ADAPT-VQE,iterations to convergence,A < B,T3,high,no,not_provided,partial,high_effort,artifact;baseline;hyperparameters,high,no,artifact_only,The claim depends on a paper-specific algorithm/baseline; implementing it would require inferred settings or substitute components.,worksheet;audit_plan;operationalizability_filter,artifact/field_study/claims/extracted_claims_457.csv worksheet-derived row: 2205.01726v1.md; operationalizability label row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2107_08606v3_claim2,P12,P12,transpiler/compiler,Pennylane-qulacs vs Pennylane default and Pennylane-qiskit,gradient calculation runtime,A < B,T3,medium,no,not_provided,partial,high_effort,artifact;hyperparameters;instance_generator;optimizer;resource_budget,high,no,artifact_only,The variational claim needs an optimizer/seed/budget surface; the paper-level claim is audit-eligible but not proxy-free executable from current artifacts. Runtime metrics also require host/environment normalization.,worksheet;audit_plan;operationalizability_filter,artifact/field_study/claims/extracted_claims_457.csv worksheet-derived row: 2107.08606v3.md; operationalizability label row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2102_00345v2_claim1,P11,P11,optimization/QAOA,PQE vs variational optimization / VQE,computational resources for same energies,A < B,T3,high,no,available,partial,high_effort,artifact;baseline;hyperparameters;other,high,no,artifact_only,The claim depends on a paper-specific algorithm/baseline; implementing it would require inferred settings or substitute components.,worksheet;audit_plan;operationalizability_filter,artifact/field_study/claims/extracted_claims_457.csv worksheet-derived row: 2102.00345v2.md; operationalizability label row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2011_08137v3_claim2,P9,P9,VQE/chemistry/ansatz,FCI/IAO and q-UCCSD/IAO vs STO-6G counterparts,binding-energy agreement with CCSD/aug-cc-pVQZ,A > B,T3,medium,no,not_provided,partial,high_effort,artifact;hyperparameters;instance_generator;optimizer;resource_budget,high,no,artifact_only,The variational claim needs an optimizer/seed/budget surface; the paper-level claim is audit-eligible but not proxy-free executable from current artifacts.,worksheet;audit_plan;operationalizability_filter,artifact/field_study/claims/extracted_claims_457.csv worksheet-derived row: 2011.08137v3.md; operationalizability label row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2011_08137v3_claim4,P9,P9,VQE/chemistry/ansatz,full IAO basis vs HONO/LUNO active space,binding-energy accuracy,A > B,T3,medium,no,not_provided,partial,high_effort,artifact;hyperparameters;instance_generator;metric;optimizer;resource_budget,high,no,artifact_only,The variational claim needs an optimizer/seed/budget surface; the paper-level claim is audit-eligible but not proxy-free executable from current artifacts. The metric requires a paper-specific measurement/fidelity model.,worksheet;audit_plan;operationalizability_filter,artifact/field_study/claims/extracted_claims_457.csv worksheet-derived row: 2011.08137v3.md; operationalizability label row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2009_13545v3_claim3,P8,P8,VQE/chemistry/ansatz,optnl-meta-VQE vs standard VQE over test points,cost after more than 20 test points,A < B,T3,high,no,available,partial,high_effort,artifact;baseline;hyperparameters,high,no,artifact_only,The claim depends on a paper-specific algorithm/baseline; implementing it would require inferred settings or substitute components.,worksheet;audit_plan;operationalizability_filter,artifact/field_study/claims/extracted_claims_457.csv worksheet-derived row: 2009.13545v3.md; operationalizability label row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2009_03351v3_claim2,P7,P7,VQE/chemistry/ansatz,VQE vs QFD+HOA,gate-count cost for N<10,A < B,T3,medium,no,available,partial,high_effort,artifact;hyperparameters;instance_generator;optimizer;resource_budget,high,no,artifact_only,The variational claim needs an optimizer/seed/budget surface; the paper-level claim is audit-eligible but not proxy-free executable from current artifacts.,worksheet;audit_plan;operationalizability_filter,artifact/field_study/claims/extracted_claims_457.csv worksheet-derived row: 2009.03351v3.md; operationalizability label row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2405_07624v1_claim5,P36,P36,optimization/QAOA,XY/QUBO formulations vs HOBO formulation beyond k+1=5,circuit depth per QAOA layer,A < B,T3,medium,no,available,partial,high_effort,artifact;hyperparameters;instance_generator;optimizer;other;resource_budget,high,no,artifact_only,The variational claim needs an optimizer/seed/budget surface; the paper-level claim is audit-eligible but not proxy-free executable from current artifacts.,worksheet;audit_plan;operationalizability_filter,artifact/field_study/claims/extracted_claims_457.csv worksheet-derived row: 2405.07624v1.md; operationalizability label row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2409_14786v3_claim7,P42,P42,optimization/QAOA,vanilla QAOA vs Parity QAOA lower bound,approximation ratio,A > B,T3,medium,no,available,partial,high_effort,artifact;hyperparameters;instance_generator;optimizer;resource_budget,high,no,artifact_only,The variational claim needs an optimizer/seed/budget surface; the paper-level claim is audit-eligible but not proxy-free executable from current artifacts.,worksheet;audit_plan;operationalizability_filter,artifact/field_study/claims/extracted_claims_457.csv worksheet-derived row: 2409.14786v3.md; operationalizability label row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2008_02941v2_claim3,P6,P6,other,over-parameterized HVA regime vs under-parameterized HVA regime,convergence rate / optimization landscape quality,A > B,T3,medium,no,available,partial,high_effort,artifact;hyperparameters;instance_generator;optimizer;resource_budget,high,no,artifact_only,The variational claim needs an optimizer/seed/budget surface; the paper-level claim is audit-eligible but not proxy-free executable from current artifacts.,worksheet;audit_plan;operationalizability_filter,artifact/field_study/claims/extracted_claims_457.csv worksheet-derived row: 2008.02941v2.md; operationalizability label row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2009_13545v3_claim1,P8,P8,VQE/chemistry/ansatz,meta-VQE vs individual VQE optimization,accuracy,A > B,T3,high,no,available,partial,high_effort,artifact;baseline;hyperparameters;metric,high,no,artifact_only,The claim depends on a paper-specific algorithm/baseline; implementing it would require inferred settings or substitute components. The metric requires a paper-specific measurement/fidelity model.,worksheet;audit_plan;operationalizability_filter,artifact/field_study/claims/extracted_claims_457.csv worksheet-derived row: 2009.13545v3.md; operationalizability label row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2205_01726v1_claim1,P17,P17,other,nonlinear conjugate-gradient CQE vs gradient-descent CQE approaches,convergence behavior,A > B,T3,high,no,not_provided,partial,high_effort,artifact;baseline;hyperparameters,high,no,artifact_only,The claim depends on a paper-specific algorithm/baseline; implementing it would require inferred settings or substitute components.,worksheet;audit_plan;operationalizability_filter,artifact/field_study/claims/extracted_claims_457.csv worksheet-derived row: 2205.01726v1.md; operationalizability label row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2311_15123v3_claim7,P33,P33,transpiler/compiler,FAA baseline vs Atomique,performance/fidelity,A > B,T4,high,no,not_provided,insufficient,no_go,artifact;baseline;data;metric,no_go,no,excluded,A required comparator or solver stack is not available as a local executable artifact. The metric requires a paper-specific measurement/fidelity model.,worksheet;audit_plan;operationalizability_filter,artifact/field_study/claims/extracted_claims_457.csv worksheet-derived row: 2311.15123v3.md; operationalizability label row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2407_01010v2_claim4,P40,P40,optimization/QAOA,GA-VQA method vs AVQDS method at relaxed L2 cut,accuracy,A > B,T3,high,no,available,partial,high_effort,artifact;baseline;hyperparameters;metric;resource_budget,high,no,artifact_only,The claim depends on a paper-specific algorithm/baseline; implementing it would require inferred settings or substitute components. Runtime metrics also require host/environment normalization. The metric requires a paper-specific measurement/fidelity model.,worksheet;audit_plan;operationalizability_filter,artifact/field_study/claims/extracted_claims_457.csv worksheet-derived row: 2407.01010v2.md; operationalizability label row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2305_03390v1_claim3,P26,P26,optimization/QAOA,PUBO formulation vs QUBO formulation,simulation_wallclock_time,A < B,T3,medium,no,available,partial,high_effort,artifact;hyperparameters;instance_generator;optimizer;resource_budget,high,no,artifact_only,The variational claim needs an optimizer/seed/budget surface; the paper-level claim is audit-eligible but not proxy-free executable from current artifacts. Runtime metrics also require host/environment normalization.,worksheet;audit_plan;operationalizability_filter,artifact/field_study/claims/extracted_claims_457.csv worksheet-derived row: 2305.03390v1.md; operationalizability label row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2409_14786v3_claim5,P42,P42,optimization/QAOA,Parity QAOA vs vanilla QAOA,CNOT gate count,A > B,T3,medium,no,available,partial,high_effort,artifact;hyperparameters;instance_generator;optimizer;other;resource_budget,high,no,artifact_only,The variational claim needs an optimizer/seed/budget surface; the paper-level claim is audit-eligible but not proxy-free executable from current artifacts.,worksheet;audit_plan;operationalizability_filter,artifact/field_study/claims/extracted_claims_457.csv worksheet-derived row: 2409.14786v3.md; operationalizability label row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2411_00518v2_claim3,P44,P44,optimization/QAOA,Copula-QAOA vs QTG-based AAM-QAOA,probability value,A > B,T1,high,yes,already_materialized,sufficient,completed,,already_executable,yes,main_external_audit_candidate,Completed as an N=80 external audit with an existing faithful adapter or artifact-backed materialization.,local_adapter,paper/output/figures/section5/external_forest_data.csv (EX-C4 row); paper/output/figures/section5/per_claim_external_audit.csv (EX-C4),Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2007_15671v1_claim5,P5,P5,transpiler/compiler,TriQ vs TB-OLSQ / OLSQ-family layout synthesis,fidelity,A > B,T3,high,no,not_provided,partial,high_effort,baseline;metric;artifact;hyperparameters,high,no,artifact_only,TriQ/TB-OLSQ fidelity reproduction would require solver and fidelity-model choices not materialized in the repo.,materialization_review,artifact/external_audit/materialization/materialization_tier_report.md: TriQ row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
