instance_id,topology,family,c_olsq,c_tket,reduction,included_in_reconstructed_geomean,exclusion_reason,source_file
4gt_13_92_ibmqx2,ibmqx2,reversible,0,21,1.0000000000,True,,.external_audit_tmp/roadb/source_recovery/olsq_claim4_swap/repo/iccad20/result/tb-olsq/4gt_13_92_ibmqx2/4gt13_92_ibmqx2_tbolsq_swap.txt|.external_audit_tmp/roadb/source_recovery/olsq_claim4_swap/repo/iccad20/result/tb-olsq/4gt_13_92_ibmqx2/4gt13_92_ibmqx2_tket.txt
4gt_13_92_melbourne,melbourne,reversible,30,42,0.2857142857,True,,.external_audit_tmp/roadb/source_recovery/olsq_claim4_swap/repo/iccad20/result/tb-olsq/4gt_13_92_melbourne/4gt13_92_ibmq14_tbolsq_swap.txt|.external_audit_tmp/roadb/source_recovery/olsq_claim4_swap/repo/iccad20/result/tb-olsq/4gt_13_92_melbourne/4gt13_92_ibmq14_tket.txt
4mod5-v1_22_ibmqx2,ibmqx2,reversible,3,12,0.7500000000,True,,.external_audit_tmp/roadb/source_recovery/olsq_claim4_swap/repo/iccad20/result/tb-olsq/4mod5-v1_22_ibmqx2/4mod5-v1_22_ibmqx2_tbolsq_swap.txt|.external_audit_tmp/roadb/source_recovery/olsq_claim4_swap/repo/iccad20/result/tb-olsq/4mod5-v1_22_ibmqx2/4mod5-v1_22_ibmqx2_tket.txt
4mod5-v1_22_melbourne,melbourne,reversible,9,9,0.0000000000,False,excluded: reduction<=0,.external_audit_tmp/roadb/source_recovery/olsq_claim4_swap/repo/iccad20/result/tb-olsq/4mod5-v1_22_melbourne/4mod5-v1_22_ibmq14_tbolsq_swap.txt|.external_audit_tmp/roadb/source_recovery/olsq_claim4_swap/repo/iccad20/result/tb-olsq/4mod5-v1_22_melbourne/4mod5-v1_22_ibmq14_tket.txt
adder_ibmqx2,ibmqx2,adder,3,12,0.7500000000,True,,.external_audit_tmp/roadb/source_recovery/olsq_claim4_swap/repo/iccad20/result/tb-olsq/adder_ibmqx2/adder_ibmqx2_tbolsq_swap.txt|.external_audit_tmp/roadb/source_recovery/olsq_claim4_swap/repo/iccad20/result/tb-olsq/adder_ibmqx2/adder_ibmqx2_tket.txt
adder_melbourne,melbourne,adder,0,3,1.0000000000,True,,.external_audit_tmp/roadb/source_recovery/olsq_claim4_swap/repo/iccad20/result/tb-olsq/adder_melbourne/adder_ibmq14_tbolsq_swap.txt|.external_audit_tmp/roadb/source_recovery/olsq_claim4_swap/repo/iccad20/result/tb-olsq/adder_melbourne/adder_ibmq14_tket.txt
barenco_tof_4_melbourne,melbourne,toffoli,15,27,0.4444444444,True,,.external_audit_tmp/roadb/source_recovery/olsq_claim4_swap/repo/iccad20/result/tb-olsq/barenco_tof_4_melbourne/barenco_tof_4_after_heavy_ibmq14_tbolsq_swap.txt|.external_audit_tmp/roadb/source_recovery/olsq_claim4_swap/repo/iccad20/result/tb-olsq/barenco_tof_4_melbourne/barenco_tof_4_after_heavy_ibmq14_tket.txt
barenco_tof_5_melbourne,melbourne,toffoli,18,51,0.6470588235,True,,.external_audit_tmp/roadb/source_recovery/olsq_claim4_swap/repo/iccad20/result/tb-olsq/barenco_tof_5_melbourne/barenco_tof_5_after_heavy_ibmq14_tbolsq_swap.txt|.external_audit_tmp/roadb/source_recovery/olsq_claim4_swap/repo/iccad20/result/tb-olsq/barenco_tof_5_melbourne/barenco_tof_5_after_heavy_ibmq14_tket.txt
mod5mils_65_ibmqx2,ibmqx2,misc,6,12,0.5000000000,True,,.external_audit_tmp/roadb/source_recovery/olsq_claim4_swap/repo/iccad20/result/tb-olsq/mod5mils_65_ibmqx2/mod5mils_65_ibmqx2_tbolsq_swap.txt|.external_audit_tmp/roadb/source_recovery/olsq_claim4_swap/repo/iccad20/result/tb-olsq/mod5mils_65_ibmqx2/mod5mils_65_ibmqx2_tket.txt
mod5mils_65_melbourne,melbourne,misc,18,18,0.0000000000,False,excluded: reduction<=0,.external_audit_tmp/roadb/source_recovery/olsq_claim4_swap/repo/iccad20/result/tb-olsq/mod5mils_65_melbourne/mod5mils_65_ibmq14_tbolsq_swap.txt|.external_audit_tmp/roadb/source_recovery/olsq_claim4_swap/repo/iccad20/result/tb-olsq/mod5mils_65_melbourne/mod5mils_65_ibmq14_tket.txt
mod_mult_55_melbourne,melbourne,misc,24,36,0.3333333333,True,,.external_audit_tmp/roadb/source_recovery/olsq_claim4_swap/repo/iccad20/result/tb-olsq/mod_mult_55_melbourne/mod_mult_55_after_heavy_ibmq14_tbolsq_swap.txt|.external_audit_tmp/roadb/source_recovery/olsq_claim4_swap/repo/iccad20/result/tb-olsq/mod_mult_55_melbourne/mod_mult_55_after_heavy_ibmq14_tket.txt
or_ibmqx2,ibmqx2,misc,0,0,,False,excluded: c_tket=0; reduction undefined,.external_audit_tmp/roadb/source_recovery/olsq_claim4_swap/repo/iccad20/result/tb-olsq/or_ibmqx2/or_ibmqx2_tbolsq_swap.txt|.external_audit_tmp/roadb/source_recovery/olsq_claim4_swap/repo/iccad20/result/tb-olsq/or_ibmqx2/or_ibmqx2_tket.txt
or_melbourne,melbourne,misc,6,6,0.0000000000,False,excluded: reduction<=0,.external_audit_tmp/roadb/source_recovery/olsq_claim4_swap/repo/iccad20/result/tb-olsq/or_melbourne/or_ibmq14_tbolsq_swap.txt|.external_audit_tmp/roadb/source_recovery/olsq_claim4_swap/repo/iccad20/result/tb-olsq/or_melbourne/or_ibmq14_tket.txt
qaoa5_ibmqx2,ibmqx2,qaoa,0,3,1.0000000000,True,,.external_audit_tmp/roadb/source_recovery/olsq_claim4_swap/repo/iccad20/result/tb-olsq/qaoa5_ibmqx2/qaoa_ibmqx2_tbolsq_swap.txt|.external_audit_tmp/roadb/source_recovery/olsq_claim4_swap/repo/iccad20/result/tb-olsq/qaoa5_ibmqx2/qaoa_ibmqx2_tket.txt
qaoa5_melbourne,melbourne,qaoa,0,0,,False,excluded: c_tket=0; reduction undefined,.external_audit_tmp/roadb/source_recovery/olsq_claim4_swap/repo/iccad20/result/tb-olsq/qaoa5_melbourne/qaoa_ibmq14_tbolsq_swap.txt|.external_audit_tmp/roadb/source_recovery/olsq_claim4_swap/repo/iccad20/result/tb-olsq/qaoa5_melbourne/qaoa_ibmq14_tket.txt
queko_05_0_aspen-4,aspen-4,queko,0,3,1.0000000000,True,,.external_audit_tmp/roadb/source_recovery/olsq_claim4_swap/repo/iccad20/result/tb-olsq/queko_05_0_aspen-4/16QBT_05CYC_TFL_0_aspen4_tbolsq_swap.txt|.external_audit_tmp/roadb/source_recovery/olsq_claim4_swap/repo/iccad20/result/tb-olsq/queko_05_0_aspen-4/16QBT_05CYC_TFL_0_aspen4_tket.txt
queko_10_3_aspen-4,aspen-4,queko,0,45,1.0000000000,True,,.external_audit_tmp/roadb/source_recovery/olsq_claim4_swap/repo/iccad20/result/tb-olsq/queko_10_3_aspen-4/16QBT_10CYC_TFL_3_aspen4_tbolsq_swap.txt|.external_audit_tmp/roadb/source_recovery/olsq_claim4_swap/repo/iccad20/result/tb-olsq/queko_10_3_aspen-4/16QBT_10CYC_TFL_3_aspen4_tket.txt
queko_15_1_aspen-4,aspen-4,queko,0,114,1.0000000000,True,,.external_audit_tmp/roadb/source_recovery/olsq_claim4_swap/repo/iccad20/result/tb-olsq/queko_15_1_aspen-4/16QBT_15CYC_TFL_1_aspen4_tbolsq_swap.txt|.external_audit_tmp/roadb/source_recovery/olsq_claim4_swap/repo/iccad20/result/tb-olsq/queko_15_1_aspen-4/16QBT_15CYC_TFL_1_aspen4_tket.txt
rc_adder_6_melbourne,melbourne,adder,27,174,0.8448275862,True,,.external_audit_tmp/roadb/source_recovery/olsq_claim4_swap/repo/iccad20/result/tb-olsq/rc_adder_6_melbourne/rc_adder_6_after_heavy_ibmq14_tbolsq_swap.txt|.external_audit_tmp/roadb/source_recovery/olsq_claim4_swap/repo/iccad20/result/tb-olsq/rc_adder_6_melbourne/rc_adder_6_after_heavy_ibmq14_tket.txt
tof_4_melbourne,melbourne,toffoli,3,3,0.0000000000,False,excluded: reduction<=0,.external_audit_tmp/roadb/source_recovery/olsq_claim4_swap/repo/iccad20/result/tb-olsq/tof_4_melbourne/tof_4_after_heavy_ibmq14_tbolsq_swap.txt|.external_audit_tmp/roadb/source_recovery/olsq_claim4_swap/repo/iccad20/result/tb-olsq/tof_4_melbourne/tof_4_after_heavy_ibmq14_tket.txt
tof_5_melbourne,melbourne,toffoli,3,21,0.8571428571,True,,.external_audit_tmp/roadb/source_recovery/olsq_claim4_swap/repo/iccad20/result/tb-olsq/tof_5_melbourne/tof_5_after_heavy_ibmq14_tbolsq_swap.txt|.external_audit_tmp/roadb/source_recovery/olsq_claim4_swap/repo/iccad20/result/tb-olsq/tof_5_melbourne/tof_5_after_heavy_ibmq14_tket.txt
vbe_adder_3_melbourne,melbourne,adder,24,48,0.5000000000,True,,.external_audit_tmp/roadb/source_recovery/olsq_claim4_swap/repo/iccad20/result/tb-olsq/vbe_adder_3_melbourne/vbe_adder_3_after_heavy_ibmq14_tbolsq_swap.txt|.external_audit_tmp/roadb/source_recovery/olsq_claim4_swap/repo/iccad20/result/tb-olsq/vbe_adder_3_melbourne/vbe_adder_3_after_heavy_ibmq14_tket.txt
