claim_id,arxiv_id,failed_or_unclear_criteria
ext_2411_19388v1_claim1,2411.19388v1,O1: No public code repository or archived artifact was identifiable in paper text.
ext_2411_19388v1_claim4,2411.19388v1,O1: No public code repository or archived artifact was identifiable in paper text.
ext_2411_19388v1_claim5,2411.19388v1,O1: No public code repository or archived artifact was identifiable in paper text.
ext_2411_19388v1_claim6,2411.19388v1,O1: No public code repository or archived artifact was identifiable in paper text.
ext_2411_19388v1_claim7,2411.19388v1,O1: No public code repository or archived artifact was identifiable in paper text.
ext_2411_19388v1_claim8,2411.19388v1,O1: No public code repository or archived artifact was identifiable in paper text.
ext_2411_19388v1_claim9,2411.19388v1,O1: No public code repository or archived artifact was identifiable in paper text. | O3: Compared objects are not both publicly identifiable from the worksheet/formalization. | O4: Direction is equality/boundary rather than a strict directional claim. | O6: Compared objects are identifiable but not concrete named implementations.
ext_2411_19388v1_claim10,2411.19388v1,"O1: No public code repository or archived artifact was identifiable in paper text. | O2: Hardware/noise language appears in the claim context; simulator-only computability needs confirmation. | O5: Metric may be measurable, but quantitative operational definition is not explicit."
ext_2202_14025v1_legacy_claim1,2202.14025v1,O4: Metric is mixed/composite rather than a single audit metric.
ext_2202_14025v1_legacy_claim2,2202.14025v1,"O5: Metric may be measurable, but quantitative operational definition is not explicit."
ext_2202_14025v1_legacy_claim3,2202.14025v1,O4: Metric is mixed/composite rather than a single audit metric.
ext_2202_14025v1_legacy_claim4,2202.14025v1,"O5: Metric may be measurable, but quantitative operational definition is not explicit."
ext_2202_14025v1_legacy_claim5,2202.14025v1,"O5: Metric may be measurable, but quantitative operational definition is not explicit."
ext_2202_14025v1_legacy_claim7,2202.14025v1,"O2: Hardware/noise language appears in the claim context; simulator-only computability needs confirmation. | O5: Metric may be measurable, but quantitative operational definition is not explicit."
ext_2202_14025v1_legacy_claim8,2202.14025v1,O2: Hardware/noise language appears in the claim context; simulator-only computability needs confirmation.
ext_2202_14025v1_legacy_claim11,2202.14025v1,"O5: Metric may be measurable, but quantitative operational definition is not explicit."
ext_2202_14025v1_legacy_claim13,2202.14025v1,O4: Metric is mixed/composite rather than a single audit metric.
ext_2202_14025v1_legacy_claim14,2202.14025v1,O3: At least one compared baseline is a vague class rather than a publicly identifiable implementation. | O4: Metric is mixed/composite rather than a single audit metric. | O6: Compared objects include vague buckets such as other/conventional/prior/classical methods.
ext_2202_14025v1_legacy_claim15,2202.14025v1,"O5: Metric may be measurable, but quantitative operational definition is not explicit."
ext_2202_14025v1_legacy_claim16,2202.14025v1,"O3: Compared objects are not both publicly identifiable from the worksheet/formalization. | O5: Metric may be measurable, but quantitative operational definition is not explicit. | O6: Compared objects are identifiable but not concrete named implementations."
ext_2202_14025v1_legacy_claim17,2202.14025v1,"O2: Hardware/noise language appears in the claim context; simulator-only computability needs confirmation. | O5: Metric may be measurable, but quantitative operational definition is not explicit."
ext_2202_14025v1_legacy_claim18,2202.14025v1,"O5: Metric may be measurable, but quantitative operational definition is not explicit."
ext_2202_14025v1_legacy_claim19,2202.14025v1,O3: At least one compared baseline is a vague class rather than a publicly identifiable implementation. | O4: Metric is mixed/composite rather than a single audit metric. | O6: Compared objects include vague buckets such as other/conventional/prior/classical methods.
ext_2202_14025v1_legacy_claim20,2202.14025v1,O3: At least one compared baseline is a vague class rather than a publicly identifiable implementation. | O4: Compared object specification is too vague for unambiguous five-tuple audit. | O6: Compared objects include vague buckets such as other/conventional/prior/classical methods.
ext_2202_14025v1_legacy_claim21,2202.14025v1,"O3: At least one compared baseline is a vague class rather than a publicly identifiable implementation. | O4: Compared object specification is too vague for unambiguous five-tuple audit. | O5: Metric may be measurable, but quantitative operational definition is not explicit. | O6: Compared objects include vague buckets such as other/conventional/prior/classical methods."
ext_2202_14025v1_legacy_claim24,2202.14025v1,O3: Compared objects are not both publicly identifiable from the worksheet/formalization. | O6: Compared objects are identifiable but not concrete named implementations.
ext_2410_15626v1_legacy_claim1,2410.15626v1,"O1: No public code repository or archived artifact was identifiable in paper text. | O3: Compared objects are not both publicly identifiable from the worksheet/formalization. | O5: Metric may be measurable, but quantitative operational definition is not explicit. | O6: Compared objects are identifiable but not concrete named implementations."
ext_2410_15626v1_legacy_claim2,2410.15626v1,"O1: No public code repository or archived artifact was identifiable in paper text. | O5: Metric may be measurable, but quantitative operational definition is not explicit."
ext_2410_15626v1_legacy_claim3,2410.15626v1,O1: No public code repository or archived artifact was identifiable in paper text. | O3: Compared objects are not both publicly identifiable from the worksheet/formalization. | O6: Compared objects are identifiable but not concrete named implementations.
ext_2410_15626v1_legacy_claim4,2410.15626v1,"O1: No public code repository or archived artifact was identifiable in paper text. | O3: Compared objects are not both publicly identifiable from the worksheet/formalization. | O5: Metric may be measurable, but quantitative operational definition is not explicit. | O6: Compared objects are identifiable but not concrete named implementations."
ext_2410_15626v1_legacy_claim5,2410.15626v1,O1: No public code repository or archived artifact was identifiable in paper text.
ext_2108_11874v1_legacy_claim1,2108.11874v1,O3: At least one compared baseline is a vague class rather than a publicly identifiable implementation. | O4: Metric is mixed/composite rather than a single audit metric. | O6: Compared objects include vague buckets such as other/conventional/prior/classical methods.
ext_2108_11874v1_legacy_claim2,2108.11874v1,O3: At least one compared baseline is a vague class rather than a publicly identifiable implementation. | O4: Compared object specification is too vague for unambiguous five-tuple audit. | O6: Compared objects include vague buckets such as other/conventional/prior/classical methods.
ext_2108_11874v1_legacy_claim4,2108.11874v1,O3: At least one compared baseline is a vague class rather than a publicly identifiable implementation. | O4: Compared object specification is too vague for unambiguous five-tuple audit. | O6: Compared objects include vague buckets such as other/conventional/prior/classical methods.
ext_2304_08814v2_claim1,2304.08814v2,O3: Compared objects are not both publicly identifiable from the worksheet/formalization. | O6: Compared objects are identifiable but not concrete named implementations.
ext_2304_08814v2_claim2,2304.08814v2,O3: Compared objects are not both publicly identifiable from the worksheet/formalization. | O6: Compared objects are identifiable but not concrete named implementations.
ext_2304_08814v2_claim4,2304.08814v2,O3: Compared objects are not both publicly identifiable from the worksheet/formalization. | O6: Compared objects are identifiable but not concrete named implementations.
ext_2304_08814v2_claim8,2304.08814v2,O2: Hardware/noise language appears in the claim context; simulator-only computability needs confirmation. | O3: Compared objects are not both publicly identifiable from the worksheet/formalization. | O6: Compared objects are identifiable but not concrete named implementations.
ext_2304_08814v2_claim9,2304.08814v2,O3: Compared objects are not both publicly identifiable from the worksheet/formalization. | O4: Metric is mixed/composite rather than a single audit metric. | O6: Compared objects are identifiable but not concrete named implementations.
ext_2409_14786v3_claim1,2409.14786v3,"O5: Metric may be measurable, but quantitative operational definition is not explicit."
ext_2409_14786v3_claim9,2409.14786v3,O4: Metric is mixed/composite rather than a single audit metric.
ext_2407_01010v2_claim2,2407.01010v2,O3: At least one compared baseline is a vague class rather than a publicly identifiable implementation. | O4: Metric is mixed/composite rather than a single audit metric. | O6: Compared objects include vague buckets such as other/conventional/prior/classical methods.
ext_2405_05875v2_claim1,2405.05875v2,"O3: Compared objects are not both publicly identifiable from the worksheet/formalization. | O5: Metric may be measurable, but quantitative operational definition is not explicit. | O6: Compared objects are identifiable but not concrete named implementations."
ext_2405_05875v2_claim3,2405.05875v2,"O3: Compared objects are not both publicly identifiable from the worksheet/formalization. | O5: Metric may be measurable, but quantitative operational definition is not explicit. | O6: Compared objects are identifiable but not concrete named implementations."
ext_2406_06836v3_claim1,2406.06836v3,"O5: Metric may be measurable, but quantitative operational definition is not explicit."
ext_2406_06836v3_claim3,2406.06836v3,"O5: Metric may be measurable, but quantitative operational definition is not explicit."
ext_2406_06836v3_claim4,2406.06836v3,"O4: Metric is mixed/composite rather than a single audit metric. | O5: Metric may be measurable, but quantitative operational definition is not explicit."
ext_2409_10739v3_claim1,2409.10739v3,O4: Metric is mixed/composite rather than a single audit metric.
ext_2409_10739v3_claim2,2409.10739v3,O4: Metric is mixed/composite rather than a single audit metric.
ext_2409_10739v3_claim3,2409.10739v3,O3: Compared objects are not both publicly identifiable from the worksheet/formalization. | O4: Metric is mixed/composite rather than a single audit metric. | O6: Compared objects are identifiable but not concrete named implementations.
ext_2409_10739v3_claim5,2409.10739v3,"O3: Compared objects are not both publicly identifiable from the worksheet/formalization. | O5: Metric may be measurable, but quantitative operational definition is not explicit. | O6: Compared objects are identifiable but not concrete named implementations."
ext_2311_15123v3_claim1,2311.15123v3,O4: Metric is mixed/composite rather than a single audit metric.
ext_2311_15123v3_claim2,2311.15123v3,"O3: Artifact exists, but one compared object is not clearly separable from the paper's implementation. | O6: Compared objects are identifiable but not concrete named implementations."
ext_2311_15123v3_claim3,2311.15123v3,O4: Metric is mixed/composite rather than a single audit metric.
ext_2311_15123v3_claim4,2311.15123v3,"O3: Artifact exists, but one compared object is not clearly separable from the paper's implementation. | O6: Compared objects are identifiable but not concrete named implementations."
ext_2411_00518v2_claim2,2411.00518v2,"O5: Metric may be measurable, but quantitative operational definition is not explicit."
ext_2110_00592v2_claim5,2110.00592v2,"O3: Compared objects are not both publicly identifiable from the worksheet/formalization. | O5: Metric may be measurable, but quantitative operational definition is not explicit. | O6: Compared objects are identifiable but not concrete named implementations."
ext_2110_00592v2_claim6,2110.00592v2,"O3: At least one compared baseline is a vague class rather than a publicly identifiable implementation. | O4: Compared object specification is too vague for unambiguous five-tuple audit. | O5: Metric may be measurable, but quantitative operational definition is not explicit. | O6: Compared objects include vague buckets such as other/conventional/prior/classical methods."
ext_2405_20173v2_claim1,2405.20173v2,"O4: Metric is mixed/composite rather than a single audit metric. | O5: Metric may be measurable, but quantitative operational definition is not explicit."
ext_2304_03829v1_claim1,2304.03829v1,O1: No public code repository or archived artifact was identifiable in paper text. | O3: Compared objects are not both publicly identifiable from the worksheet/formalization. | O6: Compared objects are identifiable but not concrete named implementations.
ext_2304_03829v1_claim2,2304.03829v1,O1: No public code repository or archived artifact was identifiable in paper text.
ext_2304_03829v1_claim3,2304.03829v1,O1: No public code repository or archived artifact was identifiable in paper text.
ext_2304_03829v1_claim4,2304.03829v1,"O1: No public code repository or archived artifact was identifiable in paper text. | O5: Metric may be measurable, but quantitative operational definition is not explicit."
ext_2409_19820v1_claim1,2409.19820v1,"O1: No public code repository or archived artifact was identifiable in paper text. | O3: Compared objects are not both publicly identifiable from the worksheet/formalization. | O5: Metric may be measurable, but quantitative operational definition is not explicit. | O6: Compared objects are identifiable but not concrete named implementations."
ext_2409_19820v1_claim3,2409.19820v1,"O1: No public code repository or archived artifact was identifiable in paper text. | O3: Compared objects are not both publicly identifiable from the worksheet/formalization. | O5: Metric may be measurable, but quantitative operational definition is not explicit. | O6: Compared objects are identifiable but not concrete named implementations."
ext_2408_08365v1_claim1,2408.08365v1,O1: No public code repository or archived artifact was identifiable in paper text. | O4: Metric is mixed/composite rather than a single audit metric.
ext_2408_08365v1_claim2,2408.08365v1,O1: No public code repository or archived artifact was identifiable in paper text.
ext_2408_08365v1_claim3,2408.08365v1,O1: No public code repository or archived artifact was identifiable in paper text.
ext_2408_08365v1_claim4,2408.08365v1,O1: No public code repository or archived artifact was identifiable in paper text.
ext_2405_07624v1_claim1,2405.07624v1,O3: Compared objects are not both publicly identifiable from the worksheet/formalization. | O6: Compared objects are identifiable but not concrete named implementations.
ext_2405_07624v1_claim2,2405.07624v1,O3: Compared objects are not both publicly identifiable from the worksheet/formalization. | O6: Compared objects are identifiable but not concrete named implementations.
ext_2405_07624v1_claim4,2405.07624v1,O3: At least one compared baseline is a vague class rather than a publicly identifiable implementation. | O4: Compared object specification is too vague for unambiguous five-tuple audit. | O6: Compared objects include vague buckets such as other/conventional/prior/classical methods.
ext_2405_07624v1_claim7,2405.07624v1,"O3: At least one compared baseline is a vague class rather than a publicly identifiable implementation. | O4: Compared object specification is too vague for unambiguous five-tuple audit. | O5: Metric may be measurable, but quantitative operational definition is not explicit. | O6: Compared objects include vague buckets such as other/conventional/prior/classical methods."
ext_2405_07624v1_claim8,2405.07624v1,O3: At least one compared baseline is a vague class rather than a publicly identifiable implementation. | O4: Metric is mixed/composite rather than a single audit metric. | O6: Compared objects include vague buckets such as other/conventional/prior/classical methods.
ext_2405_07624v1_claim9,2405.07624v1,O3: At least one compared baseline is a vague class rather than a publicly identifiable implementation. | O4: Metric is mixed/composite rather than a single audit metric. | O6: Compared objects include vague buckets such as other/conventional/prior/classical methods.
ext_2303_02830v1_claim2,2303.02830v1,O3: At least one compared baseline is a vague class rather than a publicly identifiable implementation. | O4: Compared object specification is too vague for unambiguous five-tuple audit. | O6: Compared objects include vague buckets such as other/conventional/prior/classical methods.
ext_2303_02830v1_claim4,2303.02830v1,O2: Hardware/noise language appears in the claim context; simulator-only computability needs confirmation. | O3: Compared objects are not both publicly identifiable from the worksheet/formalization. | O6: Compared objects are identifiable but not concrete named implementations.
ext_2409_15055v2_claim1,2409.15055v2,O1: No public code repository or archived artifact was identifiable in paper text.
ext_2409_15055v2_claim2,2409.15055v2,"O1: No public code repository or archived artifact was identifiable in paper text. | O5: Metric may be measurable, but quantitative operational definition is not explicit."
ext_2409_15055v2_claim3,2409.15055v2,"O1: No public code repository or archived artifact was identifiable in paper text. | O2: Hardware/noise language appears in the claim context; simulator-only computability needs confirmation. | O5: Metric may be measurable, but quantitative operational definition is not explicit."
ext_2409_15055v2_claim6,2409.15055v2,"O1: No public code repository or archived artifact was identifiable in paper text. | O5: Metric may be measurable, but quantitative operational definition is not explicit."
ext_2409_15055v2_claim7,2409.15055v2,"O1: No public code repository or archived artifact was identifiable in paper text. | O5: Metric may be measurable, but quantitative operational definition is not explicit."
ext_2409_15055v2_claim8,2409.15055v2,"O1: No public code repository or archived artifact was identifiable in paper text. | O5: Metric may be measurable, but quantitative operational definition is not explicit."
ext_2409_15055v2_claim9,2409.15055v2,O1: No public code repository or archived artifact was identifiable in paper text.
ext_2311_16190v3_claim1,2311.16190v3,O1: No public code repository or archived artifact was identifiable in paper text. | O2: Hardware/noise language appears in the claim context; simulator-only computability needs confirmation. | O3: Compared objects are not both publicly identifiable from the worksheet/formalization. | O4: Metric is mixed/composite rather than a single audit metric. | O6: Compared objects are identifiable but not concrete named implementations.
ext_2311_16190v3_claim2,2311.16190v3,O1: No public code repository or archived artifact was identifiable in paper text. | O3: Compared objects are not both publicly identifiable from the worksheet/formalization. | O4: Metric is mixed/composite rather than a single audit metric. | O6: Compared objects are identifiable but not concrete named implementations.
ext_2311_16190v3_claim4,2311.16190v3,O1: No public code repository or archived artifact was identifiable in paper text. | O3: Compared objects are not both publicly identifiable from the worksheet/formalization. | O6: Compared objects are identifiable but not concrete named implementations.
ext_2401_09849v1_claim1,2401.09849v1,O1: No public code repository or archived artifact was identifiable in paper text.
ext_2401_09849v1_claim2,2401.09849v1,"O1: No public code repository or archived artifact was identifiable in paper text. | O3: At least one compared baseline is a vague class rather than a publicly identifiable implementation. | O4: Compared object specification is too vague for unambiguous five-tuple audit. | O5: Metric may be measurable, but quantitative operational definition is not explicit. | O6: Compared objects include vague buckets such as other/conventional/prior/classical methods."
ext_2401_09849v1_claim3,2401.09849v1,O1: No public code repository or archived artifact was identifiable in paper text.
ext_2401_09849v1_claim4,2401.09849v1,"O1: No public code repository or archived artifact was identifiable in paper text. | O5: Metric may be measurable, but quantitative operational definition is not explicit."
ext_2401_09849v1_claim5,2401.09849v1,"O1: No public code repository or archived artifact was identifiable in paper text. | O5: Metric may be measurable, but quantitative operational definition is not explicit."
ext_2401_09849v1_claim6,2401.09849v1,O1: No public code repository or archived artifact was identifiable in paper text.
ext_2401_09849v1_claim7,2401.09849v1,"O1: No public code repository or archived artifact was identifiable in paper text. | O3: Compared objects are not both publicly identifiable from the worksheet/formalization. | O5: Metric may be measurable, but quantitative operational definition is not explicit. | O6: Compared objects are identifiable but not concrete named implementations."
ext_2408_09538v1_claim1,2408.09538v1,"O1: No public code repository or archived artifact was identifiable in paper text. | O3: At least one compared baseline is a vague class rather than a publicly identifiable implementation. | O4: Compared object specification is too vague for unambiguous five-tuple audit. | O5: Metric may be measurable, but quantitative operational definition is not explicit. | O6: Compared objects include vague buckets such as other/conventional/prior/classical methods."
ext_2408_09538v1_claim2,2408.09538v1,"O1: No public code repository or archived artifact was identifiable in paper text. | O3: Compared objects are not both publicly identifiable from the worksheet/formalization. | O5: Metric may be measurable, but quantitative operational definition is not explicit. | O6: Compared objects are identifiable but not concrete named implementations."
ext_2311_02151v2_claim2,2311.02151v2,O1: No public code repository or archived artifact was identifiable in paper text.
ext_2311_02151v2_claim3,2311.02151v2,"O1: No public code repository or archived artifact was identifiable in paper text. | O4: Metric is mixed/composite rather than a single audit metric. | O5: Metric may be measurable, but quantitative operational definition is not explicit."
ext_2309_16796v3_claim1,2309.16796v3,O1: No public code repository or archived artifact was identifiable in paper text.
ext_2309_16796v3_claim2,2309.16796v3,O1: No public code repository or archived artifact was identifiable in paper text.
ext_2309_16796v3_claim3,2309.16796v3,O1: No public code repository or archived artifact was identifiable in paper text.
ext_2206_09938v2_claim1,2206.09938v2,O3: Compared objects are not both publicly identifiable from the worksheet/formalization. | O4: Metric is mixed/composite rather than a single audit metric. | O6: Compared objects are identifiable but not concrete named implementations.
ext_2308_01789v1_claim3,2308.01789v1,O3: Compared objects are not both publicly identifiable from the worksheet/formalization. | O6: Compared objects are identifiable but not concrete named implementations.
ext_2405_11917v2_claim1,2405.11917v2,O1: No public code repository or archived artifact was identifiable in paper text. | O3: Compared objects are not both publicly identifiable from the worksheet/formalization. | O6: Compared objects are identifiable but not concrete named implementations.
ext_2405_11917v2_claim3,2405.11917v2,O1: No public code repository or archived artifact was identifiable in paper text. | O3: Compared objects are not both publicly identifiable from the worksheet/formalization. | O6: Compared objects are identifiable but not concrete named implementations.
ext_2405_11917v2_claim4,2405.11917v2,"O1: No public code repository or archived artifact was identifiable in paper text. | O2: Hardware/noise language appears in the claim context; simulator-only computability needs confirmation. | O5: Metric may be measurable, but quantitative operational definition is not explicit."
ext_2405_11917v2_claim5,2405.11917v2,O1: No public code repository or archived artifact was identifiable in paper text. | O3: Compared objects are not both publicly identifiable from the worksheet/formalization. | O6: Compared objects are identifiable but not concrete named implementations.
ext_2305_03390v1_claim1,2305.03390v1,"O5: Metric may be measurable, but quantitative operational definition is not explicit."
ext_2305_03390v1_claim2,2305.03390v1,O2: Hardware/noise language appears in the claim context; simulator-only computability needs confirmation.
ext_2305_03390v1_claim4,2305.03390v1,"O5: Metric may be measurable, but quantitative operational definition is not explicit."
ext_2201_06457v1_claim1,2201.06457v1,O3: Compared objects are not both publicly identifiable from the worksheet/formalization. | O6: Compared objects are identifiable but not concrete named implementations.
ext_2201_06457v1_claim3,2201.06457v1,O3: Compared objects are not both publicly identifiable from the worksheet/formalization. | O6: Compared objects are identifiable but not concrete named implementations.
ext_2404_17242v2_claim1,2404.17242v2,O1: No public code repository or archived artifact was identifiable in paper text. | O3: Compared objects are not both publicly identifiable from the worksheet/formalization. | O6: Compared objects are identifiable but not concrete named implementations.
ext_2404_17242v2_claim2,2404.17242v2,O1: No public code repository or archived artifact was identifiable in paper text.
ext_2404_17242v2_claim3,2404.17242v2,O1: No public code repository or archived artifact was identifiable in paper text.
ext_2404_17242v2_claim4,2404.17242v2,O1: No public code repository or archived artifact was identifiable in paper text. | O3: Compared objects are not both publicly identifiable from the worksheet/formalization. | O6: Compared objects are identifiable but not concrete named implementations.
ext_2404_17242v2_claim5,2404.17242v2,O1: No public code repository or archived artifact was identifiable in paper text. | O3: Compared objects are not both publicly identifiable from the worksheet/formalization. | O6: Compared objects are identifiable but not concrete named implementations.
ext_2404_17242v2_claim6,2404.17242v2,O1: No public code repository or archived artifact was identifiable in paper text. | O3: Compared objects are not both publicly identifiable from the worksheet/formalization. | O6: Compared objects are identifiable but not concrete named implementations.
ext_2404_17242v2_claim7,2404.17242v2,"O1: No public code repository or archived artifact was identifiable in paper text. | O3: At least one compared baseline is a vague class rather than a publicly identifiable implementation. | O4: Compared object specification is too vague for unambiguous five-tuple audit. | O5: Metric may be measurable, but quantitative operational definition is not explicit. | O6: Compared objects include vague buckets such as other/conventional/prior/classical methods."
ext_2302_02278v2_claim1,2302.02278v2,O3: Compared objects are not both publicly identifiable from the worksheet/formalization. | O6: Compared objects are identifiable but not concrete named implementations.
ext_2302_02278v2_claim3,2302.02278v2,O3: Compared objects are not both publicly identifiable from the worksheet/formalization. | O6: Compared objects are identifiable but not concrete named implementations.
ext_2108_02099v2_claim1,2108.02099v2,"O3: Compared objects are not both publicly identifiable from the worksheet/formalization. | O5: Metric may be measurable, but quantitative operational definition is not explicit. | O6: Compared objects are identifiable but not concrete named implementations."
ext_2108_02099v2_claim2,2108.02099v2,O3: Compared objects are not both publicly identifiable from the worksheet/formalization. | O6: Compared objects are identifiable but not concrete named implementations.
ext_2108_02099v2_claim3,2108.02099v2,O3: Compared objects are not both publicly identifiable from the worksheet/formalization. | O6: Compared objects are identifiable but not concrete named implementations.
ext_2108_02099v2_claim4,2108.02099v2,O3: Compared objects are not both publicly identifiable from the worksheet/formalization. | O6: Compared objects are identifiable but not concrete named implementations.
ext_2402_02585v1_claim1,2402.02585v1,O1: No public code repository or archived artifact was identifiable in paper text. | O7: Problem family is very terse and may need human clarification.
ext_2402_02585v1_claim2,2402.02585v1,O1: No public code repository or archived artifact was identifiable in paper text. | O7: Problem family is very terse and may need human clarification.
ext_2402_02585v1_claim3,2402.02585v1,O1: No public code repository or archived artifact was identifiable in paper text.
ext_2402_02585v1_claim4,2402.02585v1,O1: No public code repository or archived artifact was identifiable in paper text. | O2: Hardware/noise language appears in the claim context; simulator-only computability needs confirmation.
ext_2207_10555v1_claim1,2207.10555v1,O1: No public code repository or archived artifact was identifiable in paper text. | O3: At least one compared baseline is a vague class rather than a publicly identifiable implementation. | O4: Compared object specification is too vague for unambiguous five-tuple audit. | O6: Compared objects include vague buckets such as other/conventional/prior/classical methods.
ext_2207_10555v1_claim2,2207.10555v1,O1: No public code repository or archived artifact was identifiable in paper text. | O3: At least one compared baseline is a vague class rather than a publicly identifiable implementation. | O4: Compared object specification is too vague for unambiguous five-tuple audit. | O6: Compared objects include vague buckets such as other/conventional/prior/classical methods.
ext_2207_10555v1_claim3,2207.10555v1,O1: No public code repository or archived artifact was identifiable in paper text. | O3: Compared objects are not both publicly identifiable from the worksheet/formalization. | O6: Compared objects are identifiable but not concrete named implementations.
ext_2207_10555v1_claim4,2207.10555v1,O1: No public code repository or archived artifact was identifiable in paper text. | O3: Compared objects are not both publicly identifiable from the worksheet/formalization. | O6: Compared objects are identifiable but not concrete named implementations.
ext_2207_10555v1_claim5,2207.10555v1,O1: No public code repository or archived artifact was identifiable in paper text. | O3: Compared objects are not both publicly identifiable from the worksheet/formalization. | O6: Compared objects are identifiable but not concrete named implementations.
ext_2003_08408v2_claim1,2003.08408v2,O3: At least one compared baseline is a vague class rather than a publicly identifiable implementation. | O4: Compared object specification is too vague for unambiguous five-tuple audit. | O6: Compared objects include vague buckets such as other/conventional/prior/classical methods.
ext_2309_00047v1_claim1,2309.00047v1,O1: No public code repository or archived artifact was identifiable in paper text.
