claim_id,instance_id,noise_regime,delta,p1_expected_cut,p2_expected_cut,margin,preserves_direction
L3-C1,er_n8_p0.2_seed0,ideal,0.0,0.0009765625,0.51171875,0.5107421875,1
L3-C2,er_n8_p0.2_seed0,ideal,0.01,0.0009765625,0.51171875,0.5107421875,1
L3-C3,er_n8_p0.2_seed0,ideal,0.05,0.0009765625,0.51171875,0.5107421875,1
L3-C1,er_n8_p0.2_seed0,depol-low,0.0,0.0244140625,0.5166015625,0.4921875,1
L3-C2,er_n8_p0.2_seed0,depol-low,0.01,0.0244140625,0.5166015625,0.4921875,1
L3-C3,er_n8_p0.2_seed0,depol-low,0.05,0.0244140625,0.5166015625,0.4921875,1
L3-C1,er_n8_p0.2_seed0,depol-medium,0.0,0.0400390625,0.5107421875,0.470703125,1
L3-C2,er_n8_p0.2_seed0,depol-medium,0.01,0.0400390625,0.5107421875,0.470703125,1
L3-C3,er_n8_p0.2_seed0,depol-medium,0.05,0.0400390625,0.5107421875,0.470703125,1
L3-C1,er_n8_p0.2_seed0,depol-high,0.0,0.099609375,0.5009765625,0.4013671875,1
L3-C2,er_n8_p0.2_seed0,depol-high,0.01,0.099609375,0.5009765625,0.4013671875,1
L3-C3,er_n8_p0.2_seed0,depol-high,0.05,0.099609375,0.5009765625,0.4013671875,1
L3-C1,er_n8_p0.2_seed0,readout-heavy,0.0,0.1328125,0.5,0.3671875,1
L3-C2,er_n8_p0.2_seed0,readout-heavy,0.01,0.1328125,0.5,0.3671875,1
L3-C3,er_n8_p0.2_seed0,readout-heavy,0.05,0.1328125,0.5,0.3671875,1
L3-C1,er_n8_p0.2_seed0,two-qubit-heavy,0.0,0.0576171875,0.5078125,0.4501953125,1
L3-C2,er_n8_p0.2_seed0,two-qubit-heavy,0.01,0.0576171875,0.5078125,0.4501953125,1
L3-C3,er_n8_p0.2_seed0,two-qubit-heavy,0.05,0.0576171875,0.5078125,0.4501953125,1
L3-C1,er_n8_p0.2_seed1,ideal,0.0,2.240234375,2.7734375,0.533203125,1
L3-C2,er_n8_p0.2_seed1,ideal,0.01,2.240234375,2.7734375,0.533203125,1
L3-C3,er_n8_p0.2_seed1,ideal,0.05,2.240234375,2.7734375,0.533203125,1
L3-C1,er_n8_p0.2_seed1,depol-low,0.0,2.3115234375,2.8154296875,0.50390625,1
L3-C2,er_n8_p0.2_seed1,depol-low,0.01,2.3115234375,2.8154296875,0.50390625,1
L3-C3,er_n8_p0.2_seed1,depol-low,0.05,2.3115234375,2.8154296875,0.50390625,1
L3-C1,er_n8_p0.2_seed1,depol-medium,0.0,2.35546875,2.8525390625,0.4970703125,1
L3-C2,er_n8_p0.2_seed1,depol-medium,0.01,2.35546875,2.8525390625,0.4970703125,1
L3-C3,er_n8_p0.2_seed1,depol-medium,0.05,2.35546875,2.8525390625,0.4970703125,1
L3-C1,er_n8_p0.2_seed1,depol-high,0.0,2.578125,3.001953125,0.423828125,1
L3-C2,er_n8_p0.2_seed1,depol-high,0.01,2.578125,3.001953125,0.423828125,1
L3-C3,er_n8_p0.2_seed1,depol-high,0.05,2.578125,3.001953125,0.423828125,1
L3-C1,er_n8_p0.2_seed1,readout-heavy,0.0,2.6259765625,2.9697265625,0.34375,1
L3-C2,er_n8_p0.2_seed1,readout-heavy,0.01,2.6259765625,2.9697265625,0.34375,1
L3-C3,er_n8_p0.2_seed1,readout-heavy,0.05,2.6259765625,2.9697265625,0.34375,1
L3-C1,er_n8_p0.2_seed1,two-qubit-heavy,0.0,2.45703125,2.93359375,0.4765625,1
L3-C2,er_n8_p0.2_seed1,two-qubit-heavy,0.01,2.45703125,2.93359375,0.4765625,1
L3-C3,er_n8_p0.2_seed1,two-qubit-heavy,0.05,2.45703125,2.93359375,0.4765625,1
L3-C1,er_n8_p0.2_seed2,ideal,0.0,1.7265625,1.7197265625,-0.0068359375,0
L3-C2,er_n8_p0.2_seed2,ideal,0.01,1.7265625,1.7197265625,-0.0068359375,0
L3-C3,er_n8_p0.2_seed2,ideal,0.05,1.7265625,1.7197265625,-0.0068359375,0
L3-C1,er_n8_p0.2_seed2,depol-low,0.0,1.7587890625,1.783203125,0.0244140625,1
L3-C2,er_n8_p0.2_seed2,depol-low,0.01,1.7587890625,1.783203125,0.0244140625,1
L3-C3,er_n8_p0.2_seed2,depol-low,0.05,1.7587890625,1.783203125,0.0244140625,0
L3-C1,er_n8_p0.2_seed2,depol-medium,0.0,1.771484375,1.7841796875,0.0126953125,1
L3-C2,er_n8_p0.2_seed2,depol-medium,0.01,1.771484375,1.7841796875,0.0126953125,1
L3-C3,er_n8_p0.2_seed2,depol-medium,0.05,1.771484375,1.7841796875,0.0126953125,0
L3-C1,er_n8_p0.2_seed2,depol-high,0.0,1.9228515625,1.935546875,0.0126953125,1
L3-C2,er_n8_p0.2_seed2,depol-high,0.01,1.9228515625,1.935546875,0.0126953125,1
L3-C3,er_n8_p0.2_seed2,depol-high,0.05,1.9228515625,1.935546875,0.0126953125,0
L3-C1,er_n8_p0.2_seed2,readout-heavy,0.0,1.9541015625,1.955078125,0.0009765625,1
L3-C2,er_n8_p0.2_seed2,readout-heavy,0.01,1.9541015625,1.955078125,0.0009765625,0
L3-C3,er_n8_p0.2_seed2,readout-heavy,0.05,1.9541015625,1.955078125,0.0009765625,0
L3-C1,er_n8_p0.2_seed2,two-qubit-heavy,0.0,1.8203125,1.9150390625,0.0947265625,1
L3-C2,er_n8_p0.2_seed2,two-qubit-heavy,0.01,1.8203125,1.9150390625,0.0947265625,1
L3-C3,er_n8_p0.2_seed2,two-qubit-heavy,0.05,1.8203125,1.9150390625,0.0947265625,1
L3-C1,er_n8_p0.2_seed3,ideal,0.0,2.03125,1.7373046875,-0.2939453125,0
L3-C2,er_n8_p0.2_seed3,ideal,0.01,2.03125,1.7373046875,-0.2939453125,0
L3-C3,er_n8_p0.2_seed3,ideal,0.05,2.03125,1.7373046875,-0.2939453125,0
L3-C1,er_n8_p0.2_seed3,depol-low,0.0,2.0634765625,1.79296875,-0.2705078125,0
L3-C2,er_n8_p0.2_seed3,depol-low,0.01,2.0634765625,1.79296875,-0.2705078125,0
L3-C3,er_n8_p0.2_seed3,depol-low,0.05,2.0634765625,1.79296875,-0.2705078125,0
L3-C1,er_n8_p0.2_seed3,depol-medium,0.0,2.0830078125,1.861328125,-0.2216796875,0
L3-C2,er_n8_p0.2_seed3,depol-medium,0.01,2.0830078125,1.861328125,-0.2216796875,0
L3-C3,er_n8_p0.2_seed3,depol-medium,0.05,2.0830078125,1.861328125,-0.2216796875,0
L3-C1,er_n8_p0.2_seed3,depol-high,0.0,2.1328125,1.931640625,-0.201171875,0
L3-C2,er_n8_p0.2_seed3,depol-high,0.01,2.1328125,1.931640625,-0.201171875,0
L3-C3,er_n8_p0.2_seed3,depol-high,0.05,2.1328125,1.931640625,-0.201171875,0
L3-C1,er_n8_p0.2_seed3,readout-heavy,0.0,2.15625,1.966796875,-0.189453125,0
L3-C2,er_n8_p0.2_seed3,readout-heavy,0.01,2.15625,1.966796875,-0.189453125,0
L3-C3,er_n8_p0.2_seed3,readout-heavy,0.05,2.15625,1.966796875,-0.189453125,0
L3-C1,er_n8_p0.2_seed3,two-qubit-heavy,0.0,2.0966796875,1.9794921875,-0.1171875,0
L3-C2,er_n8_p0.2_seed3,two-qubit-heavy,0.01,2.0966796875,1.9794921875,-0.1171875,0
L3-C3,er_n8_p0.2_seed3,two-qubit-heavy,0.05,2.0966796875,1.9794921875,-0.1171875,0
L3-C1,er_n8_p0.2_seed4,ideal,0.0,2.4814453125,3.4541015625,0.97265625,1
L3-C2,er_n8_p0.2_seed4,ideal,0.01,2.4814453125,3.4541015625,0.97265625,1
L3-C3,er_n8_p0.2_seed4,ideal,0.05,2.4814453125,3.4541015625,0.97265625,1
L3-C1,er_n8_p0.2_seed4,depol-low,0.0,2.5439453125,3.4619140625,0.91796875,1
L3-C2,er_n8_p0.2_seed4,depol-low,0.01,2.5439453125,3.4619140625,0.91796875,1
L3-C3,er_n8_p0.2_seed4,depol-low,0.05,2.5439453125,3.4619140625,0.91796875,1
L3-C1,er_n8_p0.2_seed4,depol-medium,0.0,2.5732421875,3.451171875,0.8779296875,1
L3-C2,er_n8_p0.2_seed4,depol-medium,0.01,2.5732421875,3.451171875,0.8779296875,1
L3-C3,er_n8_p0.2_seed4,depol-medium,0.05,2.5732421875,3.451171875,0.8779296875,1
L3-C1,er_n8_p0.2_seed4,depol-high,0.0,2.732421875,3.4423828125,0.7099609375,1
L3-C2,er_n8_p0.2_seed4,depol-high,0.01,2.732421875,3.4423828125,0.7099609375,1
L3-C3,er_n8_p0.2_seed4,depol-high,0.05,2.732421875,3.4423828125,0.7099609375,1
L3-C1,er_n8_p0.2_seed4,readout-heavy,0.0,2.7958984375,3.5166015625,0.720703125,1
L3-C2,er_n8_p0.2_seed4,readout-heavy,0.01,2.7958984375,3.5166015625,0.720703125,1
L3-C3,er_n8_p0.2_seed4,readout-heavy,0.05,2.7958984375,3.5166015625,0.720703125,1
L3-C1,er_n8_p0.2_seed4,two-qubit-heavy,0.0,2.630859375,3.453125,0.822265625,1
L3-C2,er_n8_p0.2_seed4,two-qubit-heavy,0.01,2.630859375,3.453125,0.822265625,1
L3-C3,er_n8_p0.2_seed4,two-qubit-heavy,0.05,2.630859375,3.453125,0.822265625,1
L3-C1,er_n8_p0.3_seed0,ideal,0.0,0.4912109375,1.3349609375,0.84375,1
L3-C2,er_n8_p0.3_seed0,ideal,0.01,0.4912109375,1.3349609375,0.84375,1
L3-C3,er_n8_p0.3_seed0,ideal,0.05,0.4912109375,1.3349609375,0.84375,1
L3-C1,er_n8_p0.3_seed0,depol-low,0.0,0.5576171875,1.3740234375,0.81640625,1
L3-C2,er_n8_p0.3_seed0,depol-low,0.01,0.5576171875,1.3740234375,0.81640625,1
L3-C3,er_n8_p0.3_seed0,depol-low,0.05,0.5576171875,1.3740234375,0.81640625,1
L3-C1,er_n8_p0.3_seed0,depol-medium,0.0,0.6103515625,1.40625,0.7958984375,1
L3-C2,er_n8_p0.3_seed0,depol-medium,0.01,0.6103515625,1.40625,0.7958984375,1
L3-C3,er_n8_p0.3_seed0,depol-medium,0.05,0.6103515625,1.40625,0.7958984375,1
L3-C1,er_n8_p0.3_seed0,depol-high,0.0,0.8134765625,1.5234375,0.7099609375,1
L3-C2,er_n8_p0.3_seed0,depol-high,0.01,0.8134765625,1.5234375,0.7099609375,1
L3-C3,er_n8_p0.3_seed0,depol-high,0.05,0.8134765625,1.5234375,0.7099609375,1
L3-C1,er_n8_p0.3_seed0,readout-heavy,0.0,0.92578125,1.5126953125,0.5869140625,1
L3-C2,er_n8_p0.3_seed0,readout-heavy,0.01,0.92578125,1.5126953125,0.5869140625,1
L3-C3,er_n8_p0.3_seed0,readout-heavy,0.05,0.92578125,1.5126953125,0.5869140625,1
L3-C1,er_n8_p0.3_seed0,two-qubit-heavy,0.0,0.666015625,1.4970703125,0.8310546875,1
L3-C2,er_n8_p0.3_seed0,two-qubit-heavy,0.01,0.666015625,1.4970703125,0.8310546875,1
L3-C3,er_n8_p0.3_seed0,two-qubit-heavy,0.05,0.666015625,1.4970703125,0.8310546875,1
L3-C1,er_n8_p0.3_seed1,ideal,0.0,5.6640625,5.1943359375,-0.4697265625,0
L3-C2,er_n8_p0.3_seed1,ideal,0.01,5.6640625,5.1943359375,-0.4697265625,0
L3-C3,er_n8_p0.3_seed1,ideal,0.05,5.6640625,5.1943359375,-0.4697265625,0
L3-C1,er_n8_p0.3_seed1,depol-low,0.0,5.689453125,5.265625,-0.423828125,0
L3-C2,er_n8_p0.3_seed1,depol-low,0.01,5.689453125,5.265625,-0.423828125,0
L3-C3,er_n8_p0.3_seed1,depol-low,0.05,5.689453125,5.265625,-0.423828125,0
L3-C1,er_n8_p0.3_seed1,depol-medium,0.0,5.6826171875,5.2744140625,-0.408203125,0
L3-C2,er_n8_p0.3_seed1,depol-medium,0.01,5.6826171875,5.2744140625,-0.408203125,0
L3-C3,er_n8_p0.3_seed1,depol-medium,0.05,5.6826171875,5.2744140625,-0.408203125,0
L3-C1,er_n8_p0.3_seed1,depol-high,0.0,5.6875,5.3759765625,-0.3115234375,0
L3-C2,er_n8_p0.3_seed1,depol-high,0.01,5.6875,5.3759765625,-0.3115234375,0
L3-C3,er_n8_p0.3_seed1,depol-high,0.05,5.6875,5.3759765625,-0.3115234375,0
L3-C1,er_n8_p0.3_seed1,readout-heavy,0.0,5.6640625,5.3486328125,-0.3154296875,0
L3-C2,er_n8_p0.3_seed1,readout-heavy,0.01,5.6640625,5.3486328125,-0.3154296875,0
L3-C3,er_n8_p0.3_seed1,readout-heavy,0.05,5.6640625,5.3486328125,-0.3154296875,0
L3-C1,er_n8_p0.3_seed1,two-qubit-heavy,0.0,5.669921875,5.38671875,-0.283203125,0
L3-C2,er_n8_p0.3_seed1,two-qubit-heavy,0.01,5.669921875,5.38671875,-0.283203125,0
L3-C3,er_n8_p0.3_seed1,two-qubit-heavy,0.05,5.669921875,5.38671875,-0.283203125,0
L3-C1,er_n8_p0.3_seed2,ideal,0.0,2.0185546875,1.8857421875,-0.1328125,0
L3-C2,er_n8_p0.3_seed2,ideal,0.01,2.0185546875,1.8857421875,-0.1328125,0
L3-C3,er_n8_p0.3_seed2,ideal,0.05,2.0185546875,1.8857421875,-0.1328125,0
L3-C1,er_n8_p0.3_seed2,depol-low,0.0,2.08984375,1.919921875,-0.169921875,0
L3-C2,er_n8_p0.3_seed2,depol-low,0.01,2.08984375,1.919921875,-0.169921875,0
L3-C3,er_n8_p0.3_seed2,depol-low,0.05,2.08984375,1.919921875,-0.169921875,0
L3-C1,er_n8_p0.3_seed2,depol-medium,0.0,2.103515625,2.0302734375,-0.0732421875,0
L3-C2,er_n8_p0.3_seed2,depol-medium,0.01,2.103515625,2.0302734375,-0.0732421875,0
L3-C3,er_n8_p0.3_seed2,depol-medium,0.05,2.103515625,2.0302734375,-0.0732421875,0
L3-C1,er_n8_p0.3_seed2,depol-high,0.0,2.2744140625,2.30859375,0.0341796875,1
L3-C2,er_n8_p0.3_seed2,depol-high,0.01,2.2744140625,2.30859375,0.0341796875,1
L3-C3,er_n8_p0.3_seed2,depol-high,0.05,2.2744140625,2.30859375,0.0341796875,0
L3-C1,er_n8_p0.3_seed2,readout-heavy,0.0,2.310546875,2.216796875,-0.09375,0
L3-C2,er_n8_p0.3_seed2,readout-heavy,0.01,2.310546875,2.216796875,-0.09375,0
L3-C3,er_n8_p0.3_seed2,readout-heavy,0.05,2.310546875,2.216796875,-0.09375,0
L3-C1,er_n8_p0.3_seed2,two-qubit-heavy,0.0,2.1728515625,2.3125,0.1396484375,1
L3-C2,er_n8_p0.3_seed2,two-qubit-heavy,0.01,2.1728515625,2.3125,0.1396484375,1
L3-C3,er_n8_p0.3_seed2,two-qubit-heavy,0.05,2.1728515625,2.3125,0.1396484375,1
L3-C1,er_n8_p0.3_seed3,ideal,0.0,3.501953125,3.541015625,0.0390625,1
L3-C2,er_n8_p0.3_seed3,ideal,0.01,3.501953125,3.541015625,0.0390625,1
L3-C3,er_n8_p0.3_seed3,ideal,0.05,3.501953125,3.541015625,0.0390625,0
L3-C1,er_n8_p0.3_seed3,depol-low,0.0,3.521484375,3.55859375,0.037109375,1
L3-C2,er_n8_p0.3_seed3,depol-low,0.01,3.521484375,3.55859375,0.037109375,1
L3-C3,er_n8_p0.3_seed3,depol-low,0.05,3.521484375,3.55859375,0.037109375,0
L3-C1,er_n8_p0.3_seed3,depol-medium,0.0,3.53125,3.6171875,0.0859375,1
L3-C2,er_n8_p0.3_seed3,depol-medium,0.01,3.53125,3.6171875,0.0859375,1
L3-C3,er_n8_p0.3_seed3,depol-medium,0.05,3.53125,3.6171875,0.0859375,1
L3-C1,er_n8_p0.3_seed3,depol-high,0.0,3.603515625,3.6416015625,0.0380859375,1
L3-C2,er_n8_p0.3_seed3,depol-high,0.01,3.603515625,3.6416015625,0.0380859375,1
L3-C3,er_n8_p0.3_seed3,depol-high,0.05,3.603515625,3.6416015625,0.0380859375,0
L3-C1,er_n8_p0.3_seed3,readout-heavy,0.0,3.646484375,3.6796875,0.033203125,1
L3-C2,er_n8_p0.3_seed3,readout-heavy,0.01,3.646484375,3.6796875,0.033203125,1
L3-C3,er_n8_p0.3_seed3,readout-heavy,0.05,3.646484375,3.6796875,0.033203125,0
L3-C1,er_n8_p0.3_seed3,two-qubit-heavy,0.0,3.541015625,3.638671875,0.09765625,1
L3-C2,er_n8_p0.3_seed3,two-qubit-heavy,0.01,3.541015625,3.638671875,0.09765625,1
L3-C3,er_n8_p0.3_seed3,two-qubit-heavy,0.05,3.541015625,3.638671875,0.09765625,1
L3-C1,er_n8_p0.3_seed4,ideal,0.0,5.3525390625,5.2119140625,-0.140625,0
L3-C2,er_n8_p0.3_seed4,ideal,0.01,5.3525390625,5.2119140625,-0.140625,0
L3-C3,er_n8_p0.3_seed4,ideal,0.05,5.3525390625,5.2119140625,-0.140625,0
L3-C1,er_n8_p0.3_seed4,depol-low,0.0,5.376953125,5.30078125,-0.076171875,0
L3-C2,er_n8_p0.3_seed4,depol-low,0.01,5.376953125,5.30078125,-0.076171875,0
L3-C3,er_n8_p0.3_seed4,depol-low,0.05,5.376953125,5.30078125,-0.076171875,0
L3-C1,er_n8_p0.3_seed4,depol-medium,0.0,5.388671875,5.3779296875,-0.0107421875,0
L3-C2,er_n8_p0.3_seed4,depol-medium,0.01,5.388671875,5.3779296875,-0.0107421875,0
L3-C3,er_n8_p0.3_seed4,depol-medium,0.05,5.388671875,5.3779296875,-0.0107421875,0
L3-C1,er_n8_p0.3_seed4,depol-high,0.0,5.376953125,5.4228515625,0.0458984375,1
L3-C2,er_n8_p0.3_seed4,depol-high,0.01,5.376953125,5.4228515625,0.0458984375,1
L3-C3,er_n8_p0.3_seed4,depol-high,0.05,5.376953125,5.4228515625,0.0458984375,0
L3-C1,er_n8_p0.3_seed4,readout-heavy,0.0,5.443359375,5.412109375,-0.03125,0
L3-C2,er_n8_p0.3_seed4,readout-heavy,0.01,5.443359375,5.412109375,-0.03125,0
L3-C3,er_n8_p0.3_seed4,readout-heavy,0.05,5.443359375,5.412109375,-0.03125,0
L3-C1,er_n8_p0.3_seed4,two-qubit-heavy,0.0,5.3310546875,5.3564453125,0.025390625,1
L3-C2,er_n8_p0.3_seed4,two-qubit-heavy,0.01,5.3310546875,5.3564453125,0.025390625,1
L3-C3,er_n8_p0.3_seed4,two-qubit-heavy,0.05,5.3310546875,5.3564453125,0.025390625,0
L3-C1,er_n8_p0.4_seed0,ideal,0.0,2.0400390625,2.2744140625,0.234375,1
L3-C2,er_n8_p0.4_seed0,ideal,0.01,2.0400390625,2.2744140625,0.234375,1
L3-C3,er_n8_p0.4_seed0,ideal,0.05,2.0400390625,2.2744140625,0.234375,1
L3-C1,er_n8_p0.4_seed0,depol-low,0.0,2.0732421875,2.3408203125,0.267578125,1
L3-C2,er_n8_p0.4_seed0,depol-low,0.01,2.0732421875,2.3408203125,0.267578125,1
L3-C3,er_n8_p0.4_seed0,depol-low,0.05,2.0732421875,2.3408203125,0.267578125,1
L3-C1,er_n8_p0.4_seed0,depol-medium,0.0,2.1142578125,2.3740234375,0.259765625,1
L3-C2,er_n8_p0.4_seed0,depol-medium,0.01,2.1142578125,2.3740234375,0.259765625,1
L3-C3,er_n8_p0.4_seed0,depol-medium,0.05,2.1142578125,2.3740234375,0.259765625,1
L3-C1,er_n8_p0.4_seed0,depol-high,0.0,2.2529296875,2.470703125,0.2177734375,1
L3-C2,er_n8_p0.4_seed0,depol-high,0.01,2.2529296875,2.470703125,0.2177734375,1
L3-C3,er_n8_p0.4_seed0,depol-high,0.05,2.2529296875,2.470703125,0.2177734375,1
L3-C1,er_n8_p0.4_seed0,readout-heavy,0.0,2.2998046875,2.4931640625,0.193359375,1
L3-C2,er_n8_p0.4_seed0,readout-heavy,0.01,2.2998046875,2.4931640625,0.193359375,1
L3-C3,er_n8_p0.4_seed0,readout-heavy,0.05,2.2998046875,2.4931640625,0.193359375,1
L3-C1,er_n8_p0.4_seed0,two-qubit-heavy,0.0,2.16015625,2.388671875,0.228515625,1
L3-C2,er_n8_p0.4_seed0,two-qubit-heavy,0.01,2.16015625,2.388671875,0.228515625,1
L3-C3,er_n8_p0.4_seed0,two-qubit-heavy,0.05,2.16015625,2.388671875,0.228515625,1
L3-C1,er_n8_p0.4_seed1,ideal,0.0,6.08984375,6.1201171875,0.0302734375,1
L3-C2,er_n8_p0.4_seed1,ideal,0.01,6.08984375,6.1201171875,0.0302734375,1
L3-C3,er_n8_p0.4_seed1,ideal,0.05,6.08984375,6.1201171875,0.0302734375,0
L3-C1,er_n8_p0.4_seed1,depol-low,0.0,6.103515625,6.1552734375,0.0517578125,1
L3-C2,er_n8_p0.4_seed1,depol-low,0.01,6.103515625,6.1552734375,0.0517578125,1
L3-C3,er_n8_p0.4_seed1,depol-low,0.05,6.103515625,6.1552734375,0.0517578125,1
