claim_id,paper_id,source_file_or_record,source_evidence_status,source_location,source_excerpt,previous_accepted_comparative_claim,adjudicated_accepted_comparative_claim,previous_claim_card_specifiable,adjudicated_claim_card_specifiable,P,B_A,B_B,M,R,previous_relation_type,adjudicated_relation_type,previous_scalar_directional,adjudicated_scalar_directional,previous_planning_feasible,adjudicated_planning_feasible,adjudicated_scalar_oriented_planning_record,previous_exact_proxy_free_materialized,adjudicated_exact_proxy_free_materialized,previous_broader_auditable_design,adjudicated_broader_auditable_design,strongest_adjudicated_mode,formal_checker,optional_cellwise_Wilson_diagnostic,primary_blocker_if_any,blocker_is_source_reporting_limitation_yes_no,blocker_is_methodology_limitation_yes_no,decision_changed_yes_no,change_type,adjudication_confidence,human_review_needed_yes_no,notes
ext_2002_11724v2_claim2,2002.11724v2,data/slr/paper_texts/2002.11724v2.txt,insufficient_context,,,true,true,true,true,excited-state energy estimation,VQD,SSVQE and MCVQE,energy accuracy,A > B,scalar_directional,scalar_directional,true,true,false,false,false,,no,,yes,source_supported_extension,Wilson_direction_preservation,yes,missing_artifact,yes,no,no,,medium,yes,O1/O2 source-reporting blocker confirmed by failed_criteria_by_claim; scalar relation valid.
ext_2002_11724v2_claim3,2002.11724v2,data/slr/paper_texts/2002.11724v2.txt,verified_sentence,line 360,"i), the VQD gives the most accurate oscillator strengths, which indicates that the method enables us to generate",true,true,true,true,transition oscillator-strength estimation,VQD,SSVQE and MCVQE,oscillator-strength accuracy,A > B,scalar_directional,scalar_directional,true,true,false,false,false,,no,,yes,source_supported_extension,Wilson_direction_preservation,yes,missing_artifact,yes,no,no,,high,no,O1/O2 source-reporting blocker confirmed by failed_criteria_by_claim; scalar relation valid.
ext_2005_11011v2_claim3,2005.11011v2,data/slr/paper_texts/2005.11011v2.txt,verified_sentence,line 782,"deviation. In this scenario, Nelder-Mead is the least resilient to this noise, while MPG is the most, and MGD follows.",true,true,false,true,VQA optimizer resilience to gate rotation error,MPG optimizer,Nelder-Mead optimizer,noise resilience,A > B,,scalar_directional,false,true,false,false,false,,no,,yes,source_supported_extension,Wilson_direction_preservation,yes,missing_artifact,yes,no,yes,previous specifiable=false; source evidence supports filled schema and scalar relation,high,no,Three-optimizer ranking (Nelder-Mead < MGD < MPG) is a valid scalar-directional comparison after pairwise reduction.
ext_2007_15671v1_claim2,2007.15671v1,data/slr/paper_texts/2007.15671v1.txt,insufficient_context,,,true,true,true,true,,,,,,scalar_directional,scalar_directional,true,true,true,true,true,no,no,yes,yes,source_supported_extension,Wilson_direction_preservation,yes,missing_evidence_object,yes,yes,no,,medium,yes,tier=T4
ext_2007_15671v1_claim3,2007.15671v1,data/slr/paper_texts/2007.15671v1.txt,verified_sentence,line 116,"show that TB-OLSQ is nearly optimal and is able to increase fidelity by 1.30x in geomean, compared to TriQ [15], a leading academic",true,true,true,true,,,,,,scalar_directional,relation_specific,true,false,true,true,false,no,no,yes,yes,relation_specific,relation-specific (see notes),no,missing_evidence_object,no,yes,no,,high,no,tier=T4
ext_2007_15671v1_claim4,2007.15671v1,data/slr/paper_texts/2007.15671v1.txt,insufficient_context,,,true,true,true,true,,,,,,scalar_directional,relation_specific,true,false,true,true,false,no,no,yes,yes,relation_specific,relation-specific (see notes),no,missing_evidence_object,no,yes,no,,medium,yes,tier=T4
ext_2007_15671v1_claim5,2007.15671v1,data/slr/paper_texts/2007.15671v1.txt,verified_sentence,line 889,"some larger programs. In some cases, TriQ has slightly better fidelity results by leveraging larger depths. This is expected since TB-OLSQ-Fidelity optimizes fidelity with the fewest transitions",true,true,true,true,,,,,,scalar_directional,relation_specific,true,false,true,true,false,no,no,yes,yes,relation_specific,relation-specific (see notes),no,missing_evidence_object,no,yes,no,,high,no,tier=T3
ext_2008_02941v2_claim2,2008.02941v2,data/slr/paper_texts/2008.02941v2.txt,verified_sentence,line 654,state. We see that the average HVA state is more entangled than the ground states of interest.,true,false,false,false,HVA entanglement characterization,average HVA state,ground states of interest,entanglement,A > B,,unclear_boundary,false,false,false,false,false,,no,,no,boundary_no_design,boundary_report,no,missing_comparator,yes,no,yes,"state-vs-state comparison, not method/tool/algorithm/config/backend/baseline; Layer 1 fails on strict reading",medium,no,"Compared objects are quantum states, not comparators recognized by Layer 1."
ext_2008_02941v2_claim3,2008.02941v2,data/slr/paper_texts/2008.02941v2.txt,insufficient_context,,,true,true,true,true,,,,,,scalar_directional,scalar_directional,true,true,true,true,true,no,no,yes,yes,source_supported_extension,Wilson_direction_preservation,yes,missing_baseline_implementation,no,no,no,,medium,yes,tier=T3
ext_2009_03351v3_claim2,2009.03351v3,data/slr/paper_texts/2009.03351v3.txt,insufficient_context,,,true,true,true,true,,,,,,scalar_directional,scalar_directional,true,true,true,true,true,no,no,yes,yes,source_supported_extension,Wilson_direction_preservation,yes,missing_baseline_implementation,no,no,no,,medium,yes,tier=T3
ext_2009_13545v3_claim1,2009.13545v3,data/slr/paper_texts/2009.13545v3.txt,verified_sentence,line 13,"an electronic H 4 Hamiltonian and a single-transmon quantum simulation. In all cases, the metaVQE is able to learn the shape of the energy functional and, in some cases, resulted in improved accuracy in comparison to individual VQE optimization. The meta-VQE algorithm introduces both",true,true,true,true,,,,,,scalar_directional,relation_specific,true,false,true,true,false,no,no,yes,yes,relation_specific,relation-specific (see notes),no,missing_evidence_object,yes,yes,no,,high,no,tier=T3
ext_2009_13545v3_claim3,2009.13545v3,data/slr/paper_texts/2009.13545v3.txt,verified_sentence,line 532,"standard VQE. Since we use ﬁve training points, optnl-meta-VQE becomes cheaper when more than 20 test points are required. Note that those numbers should",true,true,true,true,,,,,,scalar_directional,relation_specific,true,false,true,true,false,no,no,yes,yes,relation_specific,relation-specific (see notes),no,missing_evidence_object,yes,yes,no,,high,no,tier=T3
ext_2011_08137v3_claim2,2011.08137v3,data/slr/paper_texts/2011.08137v3.txt,insufficient_context,,,true,true,true,true,,,,,,scalar_directional,scalar_directional,true,true,true,true,true,no,no,yes,yes,source_supported_extension,Wilson_direction_preservation,yes,missing_baseline_implementation,no,no,no,,medium,yes,tier=T3
ext_2011_08137v3_claim4,2011.08137v3,data/slr/paper_texts/2011.08137v3.txt,verified_sentence,line 619,"Tables I and II, on the other hand, indicates that the HONO/LUNO active space leads to a slightly shorter",true,true,true,true,,,,,,scalar_directional,scalar_directional,true,true,true,true,true,no,no,yes,yes,source_supported_extension,Wilson_direction_preservation,yes,missing_baseline_implementation,no,no,no,,high,no,tier=T3
ext_2011_12191v4_claim1,2011.12191v4,data/slr/paper_texts/2011.12191v4.txt,insufficient_context,,,true,true,true,true,,,,,,scalar_directional,scalar_directional,true,true,true,true,true,no,no,yes,yes,source_supported_extension,Wilson_direction_preservation,yes,missing_evidence_object,no,no,no,,medium,yes,tier=T3
ext_2011_12191v4_claim2,2011.12191v4,data/slr/paper_texts/2011.12191v4.txt,verified_sentence,line 918,"T. Hence, in CNOT-OPT-A this eﬀect is mitigated to some extent by conﬁning this reduction in shorter segments, leading to a better performance compared to CNOT-OPT-B.",true,true,true,true,,,,,,scalar_directional,scalar_directional,true,true,true,true,true,no,no,yes,yes,source_supported_extension,Wilson_direction_preservation,yes,source_inconsistency,yes,no,no,,high,no,tier=T3
ext_2011_12191v4_claim5,2011.12191v4,data/slr/paper_texts/2011.12191v4.txt,verified_sentence,line 924,"with these software packages. Despite such diﬀerence, our CNOT-OPT-A algorithm gives much less overhead compared to Qiskit and TKET in most cases.",true,true,true,true,,,,,,scalar_directional,scalar_directional,true,true,true,true,true,no,no,yes,yes,source_supported_extension,Wilson_direction_preservation,yes,missing_evidence_object,no,no,no,,high,no,tier=T3
ext_2101_08526v7_claim1,2101.08526v7,data/slr/paper_texts/2101.08526v7.txt,insufficient_context,,,true,true,true,true,PDS variational quantum solver,PDS(K)-VQS,conventional VQE and original static PDS,accuracy and efficiency,A > B,multi_objective,multi_objective,false,false,false,true,false,,no,,yes,relation_specific,dominance_check,yes,non_scalar_relation,no,no,no,,medium,yes,Source confirms 2+ metrics; multi-objective relation; dominance_check is formal.
ext_2102_00345v2_claim1,2102.00345v2,data/slr/paper_texts/2102.00345v2.txt,verified_sentence,line 13,"employing a fixed ansatz, we find that PQE can converge disentangled (factorized) UCC wave functions to essentially identical energies as variational optimization while requiring fewer computational resources. A comparison of SPQE and adaptive variational quantum algorithms shows that—for",true,true,true,true,,,,,,scalar_directional,scalar_directional,true,true,true,true,true,no,no,yes,yes,source_supported_extension,Wilson_direction_preservation,yes,missing_baseline_implementation,no,no,no,,high,no,tier=T3
ext_2102_00345v2_claim3,2102.00345v2,data/slr/paper_texts/2102.00345v2.txt,verified_sentence,line 16,"accuracy. Finally, we show that SPQE performs similar to, and in some cases, better than selected configuration interaction and the density matrix renormalization group on 1–3 dimensional strongly",true,true,true,true,strongly correlated H10 energy estimation,SPQE,selected configuration interaction and DMRG,energy accuracy per variational parameter,A >= B,categorical_equal_or_better,categorical_equal_or_better,false,false,true,true,false,,no,,yes,relation_specific,categorical_check,no,non_scalar_relation,no,no,no,,high,no,Source confirms 2+ metrics; multi-objective relation; dominance_check is formal.
ext_2102_06813v1_claim2,2102.06813v1,data/slr/paper_texts/2102.06813v1.txt,verified_sentence,line 1112,"Most graphs at n ≤ 9 exceed the Goemans-Williamson bound by p = 3 in these narrow distributions, indicating",true,true,true,true,MaxCut small graphs,QAOA p=3,Goemans-Williamson bound,approximation_ratio,A > B,scalar_directional,scalar_directional,true,true,false,false,false,,no,,yes,source_supported_extension,Wilson_direction_preservation,yes,missing_artifact,yes,no,no,,high,no,O1/O2 source-reporting blocker confirmed by failed_criteria_by_claim; scalar relation valid.
ext_2103_08563v3_claim2,2103.08563v3,data/slr/paper_texts/2103.08563v3.txt,verified_sentence,line 1107,"shown as the Heisenberg limit. VQPE is able to achieve substantially higher accuracy than idealized QPE for the same number of time steps per circuit, thus it is better suited for",true,true,true,true,VQPE vs quantum phase estimation,VQPE,idealized QPE,accuracy at same number of time steps per circuit,A > B,scalar_directional,scalar_directional,true,true,false,false,false,,no,,yes,source_supported_extension,Wilson_direction_preservation,yes,missing_artifact,yes,no,no,,high,no,O1/O2 source-reporting blocker confirmed by failed_criteria_by_claim; scalar relation valid.
ext_2107_08606v3_claim1,2107.08606v3,data/slr/paper_texts/2107.08606v3.txt,verified_sentence,line 14,"static ansatz by utilizing fewer quantum resources and with a smaller quantum depth on average, in presence and absence of quantum noise, and in cases when the number of qubits or condition",true,true,true,true,VQLS adaptive ansatz design,adaptive dynamic ansatz (ADA),standard static ansatz (ASA),quantum resources and circuit depth,A < B,multi_objective,multi_objective,false,false,false,true,false,,no,,yes,relation_specific,dominance_check,yes,non_scalar_relation,no,no,no,,high,no,Source confirms 2+ metrics; multi-objective relation; dominance_check is formal.
ext_2107_08606v3_claim2,2107.08606v3,data/slr/paper_texts/2107.08606v3.txt,verified_sentence,line 254,Table S9 it is clear that Pennylane-qulacs is on average about 2 times faster than Pennylane default and about 3,true,true,true,true,,,,,,scalar_directional,relation_specific,true,false,true,true,false,no,no,yes,yes,relation_specific,relation-specific (see notes),no,invalid_runtime_environment,no,no,no,,high,no,tier=T3
ext_2107_08606v3_claim3,2107.08606v3,data/slr/paper_texts/2107.08606v3.txt,insufficient_context,,,true,true,true,true,VQLS total resource cost for high-condition matrices,ADA,ASA,total resource cost (TRC),A < B,scalar_directional,scalar_directional,true,true,false,false,false,,no,,yes,source_supported_extension,Wilson_direction_preservation,yes,missing_artifact,yes,no,no,,medium,yes,O1/O2 source-reporting blocker confirmed by failed_criteria_by_claim; scalar relation valid.
ext_2108_02099v2_claim3,2108.02099v2,data/slr/paper_texts/2108.02099v2.txt,verified_sentence,line 1644,"1.6x and 2.9x compared to t |ket⟩ and Qiskit, respectively. Figure 13 shows the compilation results of 3-layer QAOA",true,true,false,true,QAOA compilation depth reduction,proposed method (Quanto),t|ket> and Qiskit,circuit depth,A < B,,scalar_directional,false,true,false,false,false,,no,,yes,source_supported_extension,Wilson_direction_preservation,yes,missing_artifact,yes,no,yes,previous specifiable=false; source explicitly names tket and Qiskit and gives 1.6x/2.9x reductions,high,no,Comparator tools explicitly named in source; method artifact O1-missing keeps planning_feasible false.
ext_2110_00592v2_claim1,2110.00592v2,data/slr/paper_texts/2110.00592v2.txt,verified_sentence,line 801,"commutation rules, Nuwa uses approximately 34% fewer Swap gates than tket on average, and 66% fewer than",true,true,true,true,,,,,,scalar_directional,unclear_boundary,true,false,true,true,false,no,no,no,no,boundary_no_design,boundary_report,no,source_inconsistency,yes,no,no,,high,no,tier=T4
ext_2110_00592v2_claim2,2110.00592v2,data/slr/paper_texts/2110.00592v2.txt,insufficient_context,,,true,true,true,true,,,,,,scalar_directional,unclear_boundary,true,false,true,true,false,no,no,no,no,boundary_no_design,boundary_report,no,source_inconsistency,yes,no,no,,medium,yes,tier=T4
ext_2110_00592v2_claim3,2110.00592v2,data/slr/paper_texts/2110.00592v2.txt,insufficient_context,,,true,true,true,true,,,,,,scalar_directional,scalar_directional,true,true,true,true,true,no,no,yes,yes,source_supported_extension,Wilson_direction_preservation,yes,source_inconsistency,yes,no,no,,medium,yes,tier=T4
ext_2110_10788v3_claim1,2110.10788v3,data/slr/paper_texts/2110.10788v3.txt,verified_sentence,line 12,"(MaxCut), but can easily calculate other problems related to graphs. Here, I present a novel quantum optimization algorithm which uses exponentially less qubits as compared to the QAOA while requiring a signiﬁcantly reduced number of quantum operations to solve the MaxCut problem. Such an improved p",true,true,true,true,log-qubit MaxCut algorithm,proposed log-qubit MaxCut algorithm,QAOA,qubit count and quantum operations,A < B,multi_objective,multi_objective,false,false,true,true,false,,no,,yes,relation_specific,dominance_check,yes,non_scalar_relation,no,no,no,,high,no,Source confirms 2+ metrics; multi-objective relation; dominance_check is formal.
ext_2111_03016v3_claim3,2111.03016v3,data/slr/paper_texts/2111.03016v3.txt,insufficient_context,,,true,true,true,true,,,,,,scalar_directional,scalar_directional,true,true,true,true,true,no,no,yes,yes,source_supported_extension,Wilson_direction_preservation,yes,missing_baseline_implementation,no,no,no,,medium,yes,tier=T3
ext_2111_13454v3_claim4,2111.13454v3,data/slr/paper_texts/2111.13454v3.txt,insufficient_context,,,true,true,true,true,VQA optimizer convergence behavior,SPSA,CMA-ES,convergence speed and spread in final energy error,A > B,multi_objective,multi_objective,false,false,true,true,false,,no,,yes,relation_specific,dominance_check,yes,non_scalar_relation,no,no,no,,medium,yes,Source confirms 2+ metrics; multi-objective relation; dominance_check is formal.
ext_2112_03199v4_claim2,2112.03199v4,data/slr/paper_texts/2112.03199v4.txt,insufficient_context,,,true,true,true,true,,,,,,scalar_directional,relation_specific,true,false,true,true,false,no,no,yes,yes,relation_specific,relation-specific (see notes),no,invalid_runtime_environment,no,no,no,,medium,yes,tier=T3
ext_2112_03199v4_claim3,2112.03199v4,data/slr/paper_texts/2112.03199v4.txt,insufficient_context,,,true,true,true,true,MaxCut clustering,normal QAOA,warm-start QAOA,runtime,A < B,scalar_directional,scalar_directional,true,true,false,false,false,,no,,yes,source_supported_extension,Wilson_direction_preservation,yes,missing_artifact,yes,no,no,,medium,yes,O1/O2 source-reporting blocker confirmed by failed_criteria_by_claim; scalar relation valid.
ext_2112_03199v4_claim4,2112.03199v4,data/slr/paper_texts/2112.03199v4.txt,insufficient_context,,,true,true,true,true,MaxCut clustering,VQE/classical algorithm,normal QAOA,energy_or_clustering_performance,A > B,scalar_directional,scalar_directional,true,true,false,false,false,,no,,yes,source_supported_extension,Wilson_direction_preservation,yes,missing_artifact,yes,no,no,,medium,yes,O1/O2 source-reporting blocker confirmed by failed_criteria_by_claim; scalar relation valid.
ext_2112_07416v2_claim3,2112.07416v2,data/slr/paper_texts/2112.07416v2.txt,insufficient_context,,,true,true,true,true,measurement allocation vs classical shadows,computational-basis-sampling method and GC grouping,LBCS and OGM classical-shadow approaches,number of measurements,A < B,scalar_directional,scalar_directional,true,true,false,false,false,,no,,yes,source_supported_extension,Wilson_direction_preservation,yes,missing_artifact,yes,no,no,,medium,yes,O1/O2 source-reporting blocker confirmed by failed_criteria_by_claim; scalar relation valid.
ext_2202_14025v1_legacy_claim1,2202.14025v1,data/slr/paper_texts/2202.14025v1.txt,verified_sentence,line 461,"set by Rebase (Arline). It is interesting to note that Qiskit, Pytket and Cirq were able to compress input circuits to the optimal ones with optimal CX and U3 gate counts. This shows that KAK decomposition is in-build in the",true,true,true,true,two-qubit KAK benchmark compression,Qiskit/Pytket/Cirq pipelines,KAK optimal bound,CX and U3 gate counts,A == B,multi_objective,multi_objective,false,false,true,true,false,,no,,yes,relation_specific,dominance_check,yes,non_scalar_relation,no,no,no,,high,no,Source confirms 2+ metrics; multi-objective relation; dominance_check is formal.
ext_2202_14025v1_legacy_claim11,2202.14025v1,data/slr/paper_texts/2202.14025v1.txt,verified_sentence,line 701,"(c) For random phase polynomial [ CX, Rz] circuits, PyZX outperforms competitors by a large margin in terms of CX count reduction, although by the expense of increasing of single-qubit gate count. This behaviour is",true,true,false,true,random phase-polynomial circuit compression,PyZX,Qiskit/Pytket/Cirq competitors,CX count reduction (single-qubit cost),A > B with single-qubit cost tradeoff (multi-objective),,multi_objective,false,false,false,true,false,,no,,yes,relation_specific,dominance_check,yes,non_scalar_relation,no,no,yes,previous specifiable=false; source explicitly names tradeoff (CX vs single-qubit); multi-objective with PyZX dominant on CX,high,no,Source explicitly flags single-qubit cost penalty; this is a 2-metric Pareto-style claim.
ext_2202_14025v1_legacy_claim12,2202.14025v1,data/slr/paper_texts/2202.14025v1.txt,verified_sentence,line 725,"by each compilation stage, see Fig. 12(b). We found that Pytket with the backend implemented in C++ showed the best runtime performance. Qiskit, PyZX and Cirq fully implemented in Python have comparable execution times.",true,true,true,true,,,,,,scalar_directional,scalar_directional,true,true,true,true,true,yes,yes,yes,yes,exact,Wilson_direction_preservation,yes,none,no,no,no,,high,no,tier=T1
ext_2202_14025v1_legacy_claim13,2202.14025v1,data/slr/paper_texts/2202.14025v1.txt,verified_sentence,line 958,that QiskitPl and PytketPl demonstrate similar compression performance on average successfully improving the circuit cost function.,true,true,true,true,structured circuit compression,QiskitPl,PytketPl,compression performance and circuit cost improvement,A ~= B,multi_objective,multi_objective,false,false,true,true,false,,no,,yes,relation_specific,dominance_check,yes,non_scalar_relation,no,no,no,,high,no,Source confirms 2+ metrics; multi-objective relation; dominance_check is formal.
ext_2202_14025v1_legacy_claim22,2202.14025v1,data/slr/paper_texts/2202.14025v1.txt,verified_sentence,line 1295,"Trotter decomposition circuits, subroutines PytketChem and FullReduce demonstrate the best and the worst two-qubit gates count compression performance, which also matches conclusions of in accordance to Section 5.2. In the case of",true,true,true,true,,,,,,scalar_directional,scalar_directional,true,true,true,true,true,no,no,yes,yes,source_supported_extension,Wilson_direction_preservation,yes,missing_baseline_implementation,no,no,no,,high,no,tier=T3
ext_2202_14025v1_legacy_claim3,2202.14025v1,data/slr/paper_texts/2202.14025v1.txt,verified_sentence,line 528,"In Fig. 6 we compare performance of quantum compilers for the task of compression of randomly generated threequbit circuits. Pytket achieved the best compression results for both CX and single-qubit gate counts, although Pytket still was not able to reach the theoretical upper bound on the CX count ",true,true,true,true,three-qubit random circuit compression,Pytket,Qiskit/Cirq/PyZX competitors,CX and single-qubit gate count compression,A > B (multi-objective),multi_objective,multi_objective,false,false,true,true,false,,no,,yes,relation_specific,dominance_check,yes,non_scalar_relation,no,no,no,,high,no,Source asserts joint best on CX and single-qubit count; multi-objective. Wilson cell-wise diagnostic available.
ext_2202_14025v1_legacy_claim5,2202.14025v1,data/slr/paper_texts/2202.14025v1.txt,verified_sentence,line 604,"routing/mapping subroutines is very similar for a wide range of values of k according to CX count overhead metric. Both algorithms show somewhat diﬀerent performance according to CX depth overhead, where Transpile (Qiskit)",true,true,false,true,routing/mapping on random k-regular graphs,Qiskit Transpile,Pytket DefaultMapping,CX count overhead,A ~= B,,equality,false,false,false,true,false,,no,,yes,relation_specific,categorical_check,no,non_scalar_relation,no,no,yes,previous specifiable=false; source supports filled schema with equality relation,high,no,Equality/similarity is a non-scalar relation; categorical_check is the formal checker.
ext_2202_14025v1_legacy_claim6,2202.14025v1,data/slr/paper_texts/2202.14025v1.txt,verified_sentence,line 605,"Both algorithms show somewhat diﬀerent performance according to CX depth overhead, where Transpile (Qiskit) outperforms DefaultMapping (Pytket) for densely connected graphs with node degrees k ≳ 8.",true,true,true,true,,,,,,scalar_directional,scalar_directional,true,true,true,true,true,yes,yes,yes,yes,exact,Wilson_direction_preservation,yes,none,no,no,no,,high,no,tier=T1
ext_2202_14025v1_legacy_claim8,2202.14025v1,data/slr/paper_texts/2202.14025v1.txt,insufficient_context,,,true,true,true,true,routing/mapping on target circuits and hardware architectures,Cirq GreedyRouting,Qiskit/Pytket routing methods,CX count/depth overhead,A > B,scalar_directional,scalar_directional,true,true,false,false,false,,no,,yes,source_supported_extension,Wilson_direction_preservation,yes,missing_hardware_noise,yes,no,no,,medium,yes,O1/O2 source-reporting blocker confirmed by failed_criteria_by_claim; scalar relation valid.
ext_2204_10741v2_claim1,2204.10741v2,data/slr/paper_texts/2204.10741v2.txt,insufficient_context,,,true,true,true,true,QKS excited-state eigensolver,QDavidson,existing QKS methods such as QLanczos,convergence speed and circuit depth,A > B,multi_objective,multi_objective,false,false,false,true,false,,no,,yes,relation_specific,dominance_check,yes,non_scalar_relation,no,no,no,,medium,yes,Source confirms 2+ metrics; multi-objective relation; dominance_check is formal.
